"aar","valgtype","sted_type","sted_navn","overordnet_navn","parti_kode","parti_navn","mandater_antall","mandater_endring"
"2013","st","fylke","Østfold","","A","Arbeiderpartiet",3,-1
"2013","st","fylke","Østfold","","SV","Sosialistisk Venstreparti",0,0
"2013","st","fylke","Østfold","","RØDT","Rødt",0,0
"2013","st","fylke","Østfold","","SP","Senterpartiet",0,0
"2013","st","fylke","Østfold","","KRF","Kristelig Folkeparti",1,0
"2013","st","fylke","Østfold","","V","Venstre",0,0
"2013","st","fylke","Østfold","","H","Høyre",3,2
"2013","st","fylke","Østfold","","FRP","Fremskrittspartiet",2,-1
"2013","st","fylke","Østfold","","DEMN","Demokratene i Norge",0,0
"2013","st","fylke","Østfold","","KRISTNE","De Kristne",0,0
"2013","st","fylke","Østfold","","KSP","Kristent Samlingsparti",0,0
"2013","st","fylke","Østfold","","KYST","Kystpartiet",0,0
"2013","st","fylke","Østfold","","MDG","Miljøpartiet De Grønne",0,0
"2013","st","fylke","Østfold","","PIR","Piratpartiet",0,0
"2013","st","fylke","Østfold","","PP","Pensjonistpartiet",0,0
"2013","st","fylke","Østfold","","BLANKE","Blanke",0,0
"2013","st","fylke","Østfold","","Andre","Andre",0,0
"2013","st","fylke","Østfold","","Andre2","Andre2",0,0
"2013","st","fylke","Akershus","","A","Arbeiderpartiet",5,0
"2013","st","fylke","Akershus","","SV","Sosialistisk Venstreparti",1,0
"2013","st","fylke","Akershus","","RØDT","Rødt",0,0
"2013","st","fylke","Akershus","","SP","Senterpartiet",0,0
"2013","st","fylke","Akershus","","KRF","Kristelig Folkeparti",0,-1
"2013","st","fylke","Akershus","","V","Venstre",1,0
"2013","st","fylke","Akershus","","H","Høyre",7,3
"2013","st","fylke","Akershus","","FRP","Fremskrittspartiet",3,-1
"2013","st","fylke","Akershus","","DEMN","Demokratene i Norge",0,0
"2013","st","fylke","Akershus","","DLF","Det Liberale Folkepartiet",0,0
"2013","st","fylke","Akershus","","KRISTNE","De Kristne",0,0
"2013","st","fylke","Akershus","","KSP","Kristent Samlingsparti",0,0
"2013","st","fylke","Akershus","","KYST","Kystpartiet",0,0
"2013","st","fylke","Akershus","","MDG","Miljøpartiet De Grønne",0,0
"2013","st","fylke","Akershus","","PIR","Piratpartiet",0,0
"2013","st","fylke","Akershus","","PP","Pensjonistpartiet",0,0
"2013","st","fylke","Akershus","","SFP","Samfunnspartiet",0,0
"2013","st","fylke","Akershus","","BLANKE","Blanke",0,0
"2013","st","fylke","Akershus","","Andre","Andre",0,0
"2013","st","fylke","Akershus","","Andre2","Andre2",0,0
"2013","st","fylke","Oslo","","A","Arbeiderpartiet",6,0
"2013","st","fylke","Oslo","","SV","Sosialistisk Venstreparti",1,-1
"2013","st","fylke","Oslo","","RØDT","Rødt",0,0
"2013","st","fylke","Oslo","","SP","Senterpartiet",0,0
"2013","st","fylke","Oslo","","KRF","Kristelig Folkeparti",1,0
"2013","st","fylke","Oslo","","V","Venstre",2,1
