"aar","valgtype","sted_type","sted_navn","overordnet_navn","parti_kode","parti_navn","mandater_antall","mandater_endring"
"2019","ko","kommune","Oslo","Oslo","A","Arbeiderpartiet",12,-8
"2019","ko","kommune","Oslo","Oslo","SV","SV - Sosialistisk Venstreparti",6,3
"2019","ko","kommune","Oslo","Oslo","RØDT","Rødt",4,1
"2019","ko","kommune","Oslo","Oslo","SP","Senterpartiet",1,1
"2019","ko","kommune","Oslo","Oslo","KRF","Kristelig Folkeparti",1,0
"2019","ko","kommune","Oslo","Oslo","MDG","Miljøpartiet De Grønne",9,4
"2019","ko","kommune","Oslo","Oslo","V","Venstre",4,0
"2019","ko","kommune","Oslo","Oslo","H","Høyre",15,-4
"2019","ko","kommune","Oslo","Oslo","FRP","Fremskrittspartiet",3,-1
"2019","ko","kommune","Oslo","Oslo","ALLI","Alliansen",0,0
"2019","ko","kommune","Oslo","Oslo","DEMN","Demokratene",0,0
"2019","ko","kommune","Oslo","Oslo","FNB","Folkeaksjonen Nei til mer bompenger",4,4
"2019","ko","kommune","Oslo","Oslo","HELSE","Helsepartiet",0,0
"2019","ko","kommune","Oslo","Oslo","KRISTNE","Partiet De Kristne",0,0
"2019","ko","kommune","Oslo","Oslo","KYST","Kystpartiet",0,0
"2019","ko","kommune","Oslo","Oslo","LIBS","Liberalistene",0,0
"2019","ko","kommune","Oslo","Oslo","NKP","Norges Kommunistiske Parti",0,0
"2019","ko","kommune","Oslo","Oslo","PIR","Piratpartiet",0,0
"2019","ko","kommune","Oslo","Oslo","PP","Pensjonistpartiet",0,0
"2019","ko","kommune","Oslo","Oslo","BLANKE","Blanke",0,0
"2019","ko","kommune","Oslo","Oslo","FI","Feministisk Initiativ",0,0
"2019","ko","kommune","Oslo","Oslo","SELV","Selvstendighetspartiet",0,0
"2019","ko","kommune","Oslo","Oslo","Andre","Andre",4,4
"2019","ko","kommune","Oslo","Oslo","Andre2","Andre2",0,0
"2019","ko","kommune","Eigersund","Rogaland","A","Arbeiderpartiet",10,0
"2019","ko","kommune","Eigersund","Rogaland","SV","SV - Sosialistisk Venstreparti",2,1
"2019","ko","kommune","Eigersund","Rogaland","SP","Senterpartiet",4,1
"2019","ko","kommune","Eigersund","Rogaland","KRF","Kristelig Folkeparti",3,-2
"2019","ko","kommune","Eigersund","Rogaland","MDG","Miljøpartiet De Grønne",0,0
"2019","ko","kommune","Eigersund","Rogaland","V","Venstre",1,0
"2019","ko","kommune","Eigersund","Rogaland","H","Høyre",5,-1
"2019","ko","kommune","Eigersund","Rogaland","FRP","Fremskrittspartiet",6,1
"2019","ko","kommune","Eigersund","Rogaland","BLANKE","Blanke",0,0
"2019","ko","kommune","Eigersund","Rogaland","Andre","Andre",0,0
"2019","ko","kommune","Eigersund","Rogaland","Andre2","Andre2",0,0
"2019","ko","kommune","Stavanger","Rogaland","A","Arbeiderpartiet",18,0
"2019","ko","kommune","Stavanger","Rogaland","SV","SV - Sosialistisk Venstreparti",3,0
"2019","ko","kommune","Stavanger","Rogaland","RØDT","Rødt",4,3
"2019","ko","kommune","Stavanger","Rogaland","SP","Senterpartiet",3,2
"2019","ko","kommune","Stavanger","Rogaland","KRF","Kristelig Folkeparti",3,-1
"2019","ko","kommune","Stavanger","Rogaland","MDG","Miljøpartiet De Grønne",4,0
"2019","ko","kommune","Stavanger","Rogaland","V","Venstre",3,-3
"2019","ko","kommune","Stavanger","Rogaland","H","Høyre",16,-3
