"region","Befolkning per 1.1. (personer)","Innbyggere per km² landareal","Landareal (km²)"
"Frogn",0,0,0
"Frogn (-2019)",0,0,0
"Frogn (2020-2023)",15953,188,85
"Froland",6004,10,601
"Froland (-2019)",0,0,0
"Fron (1966-1976)",0,0,0
"Frosta",2609,35,74
"Frosta (-2017)",0,0,0
"Fræna (-2019)",0,0,0
"Frøya",5204,23,230
"Frøya (1964-2017)",0,0,0
"Fusa (-2019)",0,0,0
"Fyresdal",0,0,0
"Fyresdal (-2019)",0,0,0
"Fyresdal (2020-2023)",1228,1,1107
"Færder",0,0,0
"Færder (2018-2019)",0,0,0
"Færder (2020-2023)",26957,270,100
"Førde (-2019)",0,0,0
"Gamvik",0,0,0
"Gamvik (1914-2019)",0,0,0
"Gamvik (2020-2023)",1097,1,1355
"Gaular (-2019)",0,0,0
"Gausdal",6023,5,1146
"Gausdal (1962-2019)",0,0,0
"Gildeskål",1920,3,622
"Giske",8506,213,40
"Gjemnes",2658,7,371
"Gjerdrum",0,0,0
"Gjerdrum (-2019)",0,0,0
"Gjerdrum (2020-2023)",7043,86,82
"Gjerstad",2430,8,308
"Gjerstad (-2019)",0,0,0
"Gjesdal",12064,22,558
"Gjøvik",30395,48,629
"Gjøvik (-2019)",0,0,0
"Gloppen",5885,6,963
"Gloppen (-2019)",0,0,0
"Gol",0,0,0
"Gol (-2019)",0,0,0
"Gol (2020-2023)",4636,9,514
"Gran",13611,21,657
"Gran (-2019)",0,0,0
"Grane",1453,1,1881
"Granvin (-2019)",0,0,0
"Gratangen (1926-2019)",0,0,0
"Gratangen (2020-2023)",1092,4,305
"Gratangen - Rivtták",0,0,0
"Grimstad",23891,88,272
"Grimstad (-2019)",0,0,0
"Grong",2347,2,1095
"Grong (-2017)",0,0,0
"Grue",4545,6,778
"Grue (-2019)",0,0,0
"Gulen",2272,4,575
"Gulen (-2019)",0,0,0
"Guovdageaidnu - Kautokeino",0,0,0
"Guovdageaidnu - Kautokeino (-2019)",0,0,0
