"aar","valgtype","fylke_navn","kommune_navn","valgkrets_navn","valgkrets_nr","parti_kode","parti_navn","parti_kategori","stemmer_prosent","stemmer_antall","stemmer_fhs"
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","DEMN","Demokratene i Norge",2,0.11534,4,0
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","KRISTNE","De Kristne",2,1.03806,36,8
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","KSP","Kristent Samlingsparti",2,0.28835,10,4
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","KYST","Kystpartiet",2,0.05767,2,0
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","MDG","Miljøpartiet De Grønne",2,2.50865,87,29
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","PIR","Piratpartiet",2,0.11534,4,1
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","PP","Pensjonistpartiet",2,0.31719,11,4
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","BLANKE","Blanke",3,0.63437,22,4
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","Andre","Andre",0,4.4406,154,46
"2013","st","Aust-Agder","Tvedestrand","Tvedestrand","0914","Andre2","Andre2",0,0,0,0
"2013","st","Aust-Agder","Froland","Froland","0919","A","Arbeiderpartiet",1,29.20415,844,231
"2013","st","Aust-Agder","Froland","Froland","0919","SV","Sosialistisk Venstreparti",1,1.55709,45,12
"2013","st","Aust-Agder","Froland","Froland","0919","RØDT","Rødt",1,0.27682,8,1
"2013","st","Aust-Agder","Froland","Froland","0919","SP","Senterpartiet",1,8.13149,235,68
"2013","st","Aust-Agder","Froland","Froland","0919","KRF","Kristelig Folkeparti",1,14.91349,431,121
"2013","st","Aust-Agder","Froland","Froland","0919","V","Venstre",1,1.97232,57,13
"2013","st","Aust-Agder","Froland","Froland","0919","H","Høyre",1,16.57439,479,126
"2013","st","Aust-Agder","Froland","Froland","0919","FRP","Fremskrittspartiet",1,21.97232,635,165
"2013","st","Aust-Agder","Froland","Froland","0919","DEMN","Demokratene i Norge",2,0.0346,1,0
"2013","st","Aust-Agder","Froland","Froland","0919","KRISTNE","De Kristne",2,3.21799,93,37
"2013","st","Aust-Agder","Froland","Froland","0919","KSP","Kristent Samlingsparti",2,0.20761,6,2
"2013","st","Aust-Agder","Froland","Froland","0919","KYST","Kystpartiet",2,0.10381,3,2
"2013","st","Aust-Agder","Froland","Froland","0919","MDG","Miljøpartiet De Grønne",2,1.21107,35,20
"2013","st","Aust-Agder","Froland","Froland","0919","PIR","Piratpartiet",2,0.13841,4,1
"2013","st","Aust-Agder","Froland","Froland","0919","PP","Pensjonistpartiet",2,0.48443,14,6
"2013","st","Aust-Agder","Froland","Froland","0919","BLANKE","Blanke",3,0.48443,14,3
"2013","st","Aust-Agder","Froland","Froland","0919","Andre","Andre",0,5.39792,156,68
"2013","st","Aust-Agder","Froland","Froland","0919","Andre2","Andre2",0,0,0,0
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","A","Arbeiderpartiet",1,21.98899,1278,323
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","SV","Sosialistisk Venstreparti",1,3.30351,192,55
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","RØDT","Rødt",1,0.43014,25,8
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","SP","Senterpartiet",1,1.97866,115,29
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","KRF","Kristelig Folkeparti",1,9.41156,547,147
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","V","Venstre",1,6.2457,363,98
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","H","Høyre",1,38.07639,2213,574
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","FRP","Fremskrittspartiet",1,14.05712,817,232
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","DEMN","Demokratene i Norge",2,0.15485,9,5
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","KRISTNE","De Kristne",2,1.06676,62,8
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","KSP","Kristent Samlingsparti",2,0.10323,6,0
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","KYST","Kystpartiet",2,0.08603,5,1
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","MDG","Miljøpartiet De Grønne",2,2.33999,136,56
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","PIR","Piratpartiet",2,0.20647,12,3
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","PP","Pensjonistpartiet",2,0.55058,32,12
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","BLANKE","Blanke",3,0.13765,8,4
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","Andre","Andre",0,4.50791,262,85
"2013","st","Aust-Agder","Lillesand","Lillesand","0926","Andre2","Andre2",0,0,0,0
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","A","Arbeiderpartiet",1,19.19938,494,136
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","SV","Sosialistisk Venstreparti",1,1.20482,31,8
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","RØDT","Rødt",1,0.31092,8,3
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","SP","Senterpartiet",1,7.85076,202,44
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","KRF","Kristelig Folkeparti",1,18.49981,476,160
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","V","Venstre",1,2.83716,73,24
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","H","Høyre",1,29.10999,749,227
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","FRP","Fremskrittspartiet",1,16.51768,425,123
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","DEMN","Demokratene i Norge",2,0.1166,3,1
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","KRISTNE","De Kristne",2,1.74893,45,23
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","KSP","Kristent Samlingsparti",2,0.19433,5,2
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","KYST","Kystpartiet",2,0.03887,1,1
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","MDG","Miljøpartiet De Grønne",2,1.90439,49,24
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","PIR","Piratpartiet",2,0.23319,6,2
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","PP","Pensjonistpartiet",2,0.23319,6,2
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","BLANKE","Blanke",3,0.69957,18,8
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","Andre","Andre",0,4.46949,115,55
"2013","st","Aust-Agder","Birkenes","Birkenes","0928","Andre2","Andre2",0,0,0,0
"2013","st","Aust-Agder","Åmli","Åmli","0929","A","Arbeiderpartiet",1,37.78214,385,65
"2013","st","Aust-Agder","Åmli","Åmli","0929","SV","Sosialistisk Venstreparti",1,2.74779,28,5
"2013","st","Aust-Agder","Åmli","Åmli","0929","RØDT","Rødt",1,1.17763,12,5
"2013","st","Aust-Agder","Åmli","Åmli","0929","SP","Senterpartiet",1,15.30913,156,22
