"aar","valgtype","fylke_navn","kommune_navn","valgkrets_navn","valgkrets_nr","parti_kode","parti_navn","parti_kategori","stemmer_prosent","stemmer_antall","stemmer_fhs"
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","A","Arbeiderpartiet",1,24.21384,616,616
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","SV","SV - Sosialistisk Venstreparti",1,4.12736,105,104
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","RØDT","Rødt",1,2.79088,71,71
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","SP","Senterpartiet",1,3.81289,97,97
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","KRF","Kristelig Folkeparti",1,7.42925,189,189
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","MDG","Miljøpartiet De Grønne",1,1.80818,46,46
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","V","Venstre",1,3.53774,90,90
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","H","Høyre",1,22.91667,583,583
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","FRP","Fremskrittspartiet",1,17.96384,457,457
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","DEMN","Norgesdemokratene",2,0.51101,13,13
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","FNB","Folkets Parti",2,0.07862,2,2
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","INP","Industri- og Næringspartiet",2,6.64308,169,169
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","KRISTNE","Konservativt",2,1.10063,28,28
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","LIBS","Liberalistene",2,0.11792,3,3
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","PP","Pensjonistpartiet",2,2.79088,71,71
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","PS","Partiet Sentrum",2,0,0,0
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","BLANKE","Blanke",3,2.00472,51,50
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","FSLI","Folkestyret-Listen",3,0.15723,4,4
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","Andre","Andre",0,11.39937,290,290
"2023","fy","Rogaland","Eigersund","Uoppgitt krets","0000","Andre2","Andre2",0,0,0,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","A","Arbeiderpartiet",1,18.90289,255,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","SV","SV - Sosialistisk Venstreparti",1,3.3358,45,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","RØDT","Rødt",1,2.52039,34,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","SP","Senterpartiet",1,3.92884,53,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","KRF","Kristelig Folkeparti",1,12.0089,162,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","MDG","Miljøpartiet De Grønne",1,1.40845,19,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","V","Venstre",1,6.44922,87,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","H","Høyre",1,24.09192,325,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","FRP","Fremskrittspartiet",1,18.38399,248,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","DEMN","Norgesdemokratene",2,0.29652,4,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","FNB","Folkets Parti",2,0,0,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","INP","Industri- og Næringspartiet",2,4.74426,64,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","KRISTNE","Konservativt",2,1.26019,17,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","LIBS","Liberalistene",2,0.14826,2,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","PP","Pensjonistpartiet",2,2.14974,29,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","PS","Partiet Sentrum",2,0.07413,1,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","BLANKE","Blanke",3,1.7791,24,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","FSLI","Folkestyret-Listen",3,0.29652,4,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","Andre","Andre",0,8.96961,121,0
"2023","fy","Rogaland","Eigersund","Egersund","0001","Andre2","Andre2",0,0,0,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","A","Arbeiderpartiet",1,21.05263,148,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","SV","SV - Sosialistisk Venstreparti",1,2.56046,18,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","RØDT","Rødt",1,2.7027,19,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","SP","Senterpartiet",1,3.55619,25,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","KRF","Kristelig Folkeparti",1,10.66856,75,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","MDG","Miljøpartiet De Grønne",1,1.70697,12,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","V","Venstre",1,2.27596,16,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","H","Høyre",1,23.61309,166,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","FRP","Fremskrittspartiet",1,22.61735,159,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","DEMN","Norgesdemokratene",2,0.56899,4,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","FNB","Folkets Parti",2,0,0,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","INP","Industri- og Næringspartiet",2,5.26316,37,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","KRISTNE","Konservativt",2,1.84922,13,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","LIBS","Liberalistene",2,0,0,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","PP","Pensjonistpartiet",2,1.56472,11,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","PS","Partiet Sentrum",2,0,0,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","BLANKE","Blanke",3,2.13371,15,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","FSLI","Folkestyret-Listen",3,0,0,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","Andre","Andre",0,9.24609,65,0
"2023","fy","Rogaland","Eigersund","Lagård","0002","Andre2","Andre2",0,0,0,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","A","Arbeiderpartiet",1,10.75269,30,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","SV","SV - Sosialistisk Venstreparti",1,2.15054,6,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","RØDT","Rødt",1,2.86738,8,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","SP","Senterpartiet",1,39.0681,109,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","KRF","Kristelig Folkeparti",1,7.52688,21,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","MDG","Miljøpartiet De Grønne",1,1.07527,3,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","V","Venstre",1,0.71685,2,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","H","Høyre",1,7.52688,21,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","FRP","Fremskrittspartiet",1,19.35484,54,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","DEMN","Norgesdemokratene",2,0.71685,2,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","FNB","Folkets Parti",2,0,0,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","INP","Industri- og Næringspartiet",2,5.37634,15,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","KRISTNE","Konservativt",2,1.07527,3,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","LIBS","Liberalistene",2,0,0,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","PP","Pensjonistpartiet",2,1.43369,4,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","PS","Partiet Sentrum",2,0,0,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","BLANKE","Blanke",3,2.15054,6,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","FSLI","Folkestyret-Listen",3,0.35842,1,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","Andre","Andre",0,8.96057,25,0
"2023","fy","Rogaland","Eigersund","Helleland","0003","Andre2","Andre2",0,0,0,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","A","Arbeiderpartiet",1,24.86034,89,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","SV","SV - Sosialistisk Venstreparti",1,5.02793,18,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","RØDT","Rødt",1,1.95531,7,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","SP","Senterpartiet",1,6.70391,24,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","KRF","Kristelig Folkeparti",1,10.3352,37,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","MDG","Miljøpartiet De Grønne",1,0.83799,3,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","V","Venstre",1,1.11732,4,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","H","Høyre",1,22.06704,79,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","FRP","Fremskrittspartiet",1,15.92179,57,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","DEMN","Norgesdemokratene",2,1.11732,4,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","FNB","Folkets Parti",2,0,0,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","INP","Industri- og Næringspartiet",2,8.65922,31,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","KRISTNE","Konservativt",2,0.27933,1,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","LIBS","Liberalistene",2,0,0,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","PP","Pensjonistpartiet",2,0.83799,3,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","PS","Partiet Sentrum",2,0,0,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","BLANKE","Blanke",3,2.7933,10,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","FSLI","Folkestyret-Listen",3,0.27933,1,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","Andre","Andre",0,11.17318,40,0
"2023","fy","Rogaland","Eigersund","Hellvik","0004","Andre2","Andre2",0,0,0,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","A","Arbeiderpartiet",1,20.39216,156,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","SV","SV - Sosialistisk Venstreparti",1,2.61438,20,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","RØDT","Rødt",1,1.17647,9,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","SP","Senterpartiet",1,4.57516,35,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","KRF","Kristelig Folkeparti",1,7.5817,58,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","MDG","Miljøpartiet De Grønne",1,1.04575,8,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","V","Venstre",1,1.17647,9,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","H","Høyre",1,23.52941,180,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","FRP","Fremskrittspartiet",1,28.10458,215,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","DEMN","Norgesdemokratene",2,0.13072,1,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","FNB","Folkets Parti",2,0,0,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","INP","Industri- og Næringspartiet",2,7.71242,59,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","KRISTNE","Konservativt",2,0.52288,4,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","LIBS","Liberalistene",2,0.39216,3,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","PP","Pensjonistpartiet",2,0.91503,7,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","PS","Partiet Sentrum",2,0,0,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","BLANKE","Blanke",3,4.05229,31,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","FSLI","Folkestyret-Listen",3,0.13072,1,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","Andre","Andre",0,9.80392,75,0
"2023","fy","Rogaland","Eigersund","Eigerøy","0005","Andre2","Andre2",0,0,0,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","A","Arbeiderpartiet",1,29.02056,240,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","SV","SV - Sosialistisk Venstreparti",1,4.23216,35,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","RØDT","Rødt",1,2.05562,17,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","SP","Senterpartiet",1,2.90206,24,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","KRF","Kristelig Folkeparti",1,7.0133,58,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","MDG","Miljøpartiet De Grønne",1,1.45103,12,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","V","Venstre",1,3.62757,30,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","H","Høyre",1,22.12817,183,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","FRP","Fremskrittspartiet",1,16.32406,135,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","DEMN","Norgesdemokratene",2,0.12092,1,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","FNB","Folkets Parti",2,0,0,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","INP","Industri- og Næringspartiet",2,7.49698,62,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","KRISTNE","Konservativt",2,0.84643,7,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","LIBS","Liberalistene",2,0.24184,2,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","PP","Pensjonistpartiet",2,2.41838,20,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","PS","Partiet Sentrum",2,0.12092,1,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","BLANKE","Blanke",3,2.41838,20,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","FSLI","Folkestyret-Listen",3,0,0,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","Andre","Andre",0,11.24547,93,0
"2023","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","Andre2","Andre2",0,0,0,0
"2023","fy","Rogaland","Stavanger","Uoppgitt krets","0000","A","Arbeiderpartiet",1,26.65455,10709,10709
"2023","fy","Rogaland","Stavanger","Uoppgitt krets","0000","SV","SV - Sosialistisk Venstreparti",1,5.45835,2193,2193
"2023","fy","Rogaland","Stavanger","Uoppgitt krets","0000","RØDT","Rødt",1,4.10932,1651,1651
"2023","fy","Rogaland","Stavanger","Uoppgitt krets","0000","SP","Senterpartiet",1,1.85927,747,747
"2023","fy","Rogaland","Stavanger","Uoppgitt krets","0000","KRF","Kristelig Folkeparti",1,4.30844,1731,1731
"2023","fy","Rogaland","Stavanger","Uoppgitt krets","0000","MDG","Miljøpartiet De Grønne",1,3.40991,1370,1370
"2023","fy","Rogaland","Stavanger","Uoppgitt krets","0000","V","Venstre",1,3.43978,1382,1382
"2023","fy","Rogaland","Stavanger","Uoppgitt krets","0000","H","Høyre",1,34.31316,13786,13786
