"aar","valgtype","sted_type","sted_navn","overordnet_navn","parti_kode","parti_navn","mandater_antall","mandater_endring"
"2015","ko","kommune","Halden","Østfold","A","Arbeiderpartiet",12,-4
"2015","ko","kommune","Halden","Østfold","SV","Sosialistisk Venstreparti",1,-1
"2015","ko","kommune","Halden","Østfold","RØDT","Rødt",1,1
"2015","ko","kommune","Halden","Østfold","SP","Senterpartiet",2,0
"2015","ko","kommune","Halden","Østfold","KRF","Kristelig Folkeparti",2,0
"2015","ko","kommune","Halden","Østfold","MDG","Miljøpartiet De Grønne",2,1
"2015","ko","kommune","Halden","Østfold","V","Venstre",1,-2
"2015","ko","kommune","Halden","Østfold","H","Høyre",15,-3
"2015","ko","kommune","Halden","Østfold","FRP","Fremskrittspartiet",3,-1
"2015","ko","kommune","Halden","Østfold","PP","Pensjonistpartiet",0,-1
"2015","ko","kommune","Halden","Østfold","BLANKE","Blanke",0,0
"2015","ko","kommune","Halden","Østfold","Andre","Andre",0,-1
"2015","ko","kommune","Halden","Østfold","Andre2","Andre2",0,0
"2015","ko","kommune","Moss","Østfold","A","Arbeiderpartiet",16,2
"2015","ko","kommune","Moss","Østfold","SV","Sosialistisk Venstreparti",1,0
"2015","ko","kommune","Moss","Østfold","RØDT","Rødt",2,1
"2015","ko","kommune","Moss","Østfold","KRF","Kristelig Folkeparti",1,0
"2015","ko","kommune","Moss","Østfold","MDG","Miljøpartiet De Grønne",2,2
"2015","ko","kommune","Moss","Østfold","V","Venstre",2,0
"2015","ko","kommune","Moss","Østfold","H","Høyre",11,-4
"2015","ko","kommune","Moss","Østfold","FRP","Fremskrittspartiet",4,-1
"2015","ko","kommune","Moss","Østfold","BLANKE","Blanke",0,0
"2015","ko","kommune","Moss","Østfold","Andre","Andre",0,0
"2015","ko","kommune","Moss","Østfold","Andre2","Andre2",0,0
"2015","ko","kommune","Sarpsborg","Østfold","A","Arbeiderpartiet",22,1
"2015","ko","kommune","Sarpsborg","Østfold","SV","Sosialistisk Venstreparti",1,0
"2015","ko","kommune","Sarpsborg","Østfold","RØDT","Rødt",0,0
"2015","ko","kommune","Sarpsborg","Østfold","SP","Senterpartiet",2,1
"2015","ko","kommune","Sarpsborg","Østfold","KRF","Kristelig Folkeparti",2,-1
