"region","median_inntekt"
"Namdalseid (-2017)",NA
"Inderøy (-2011)",NA
"Snåase - Snåsa (-2017)",NA
"Lierne (1964-2017)",NA
"Raarvihke - Røyrvik (1923-2017)",NA
"Namsskogan (1923-2017)",NA
"Grong (-2017)",NA
"Høylandet (-2017)",NA
"Overhalla (-2017)",NA
"Fosnes (-2017)",NA
"Flatanger (-2017)",NA
"Vikna (-2017)",NA
"Nærøy (-2017)",NA
"Leka (-2017)",NA
"Inderøy (2012-2017)",NA
"Uoppgitt kommune Nord-Trøndelag",NA
"Nordland - Nordlánnda",552000
"Bodø",586000
"Sentrum",473000
"Vestbyen",613000
"Østbyen",468000
"Rønvik",554000
"Saltvern",615000
"Alstad",692000
"Hunstad",667000
"Støver",588000
"Nordstranda",630000
"Løding",718000
"Saltstraumen",595000
"Skjerstad",505000
"Narvik (-2019)",NA
"Narvik",548000
"Bjerkvik",552000
"Rombaken",592000
"Fossestua",601000
"Skistua",610000
"Oskarsborg",428000
"Vassvik - Taraldsvik",585000
"Frydenlund",494000
"Framnes",530000
"Kleiva",515000
"Fagernes - Kvitsandøyra",518000
"Beisfjord",776000
"Ankenesstrand",641000
"Håkvik - Vidrek",776000
"Skjomen",611000
"Ballangen",531000
"Tysfjord Nord",473000
"Bindal",538000
"Bindal",538000
"Sømna",539000
"Sømna",539000
"Brønnøy",572000
"Velfjord",528000
"Brønnøy",634000
"Brønnøy Midtre",557000
"Brønnøy (-1976)",NA
"Vega",563000
"Vega",564000
"Vevelstad",508000
"Vevelstad",509000
"Herøy (Nordland)",551000
"Herøy",551000
"Alstahaug",555000
"Alstahaug - Tjøtta",574000
"Sandnessjøen",551000
"Leirfjord",568000
"Leirfjord",569000
"Vefsn",535000
"Drevja - Skaland",601000
"Halsøy - Åsbyen - Marka",595000
"Mosjøen",410000
"Olderskogen - Remma - Bjørnådalen",570000
"Grane",525000
"Grane",527000
"Aarborte - Hattfjelldal",509000
"Hattfjelldal",509000
"Dønna",528000
"Dønna",527000
"Nesna",525000
"Nesna",525000
"Hemnes",529000
"Hemnes",528000
"Korgen",531000
"Rana - Raane",565000
"Dalselv",692000
"Mo",473000
"Gruben",555000
"Selfors",528000
"Røssvoll",657000
"Dunderlandsdalen",590000
"Båsmoen",714000
"Utskarpen",606000
"Lurøy",542000
"Lurøy",542000
"Træna",491000
"Træna",491000
"Rødøy",571000
"Rødøy",571000
"Meløy",574000
"Nordre Meløy",578000
"Søndre Meløy",576000
"Glomfjord",569000
"Gildeskål",533000
"Søndre Gildeskål",549000
"Nordre Gildeskål",505000
"Beiarn",501000
"Beiarn",501000
"Saltdal",561000
"Nedre Saltdal",581000
"Øvre Saltdal",511000
"Fauske - Fuossko",548000
"Sulitjelma",413000
"Finneid",633000
"Fauske",539000
"Valnesfjord",658000
"Skjerstad (-2004)",NA
"Bodin (-1967)",NA
"Sørfold - Fuolldá",539000
"Straumen",411000
"Røsvik",552000
"Steigen",523000
"Steigen",552000
"Nordfold - Leiranger",511000
"Hamarøy - Hábmer (-2019)",NA
"Divtasvuodna - Tysfjord (-2019)",NA
"Tysfjord",NA
"Lødingen",523000
"Lødingen",523000
"Tjeldsund (1909-2019)",NA
"Evenes - Evenássi",549000
"Evenes",549000
"Ballangen (1925-2019)",NA
"Ankenes (-1973)",NA
"Røst",508000
"Røst",510000
"Værøy",455000
"Værøy",455000
"Moskenes (1916-1975)",NA
"Flakstad",537000
"Flakstad",537000
"Vestvågøy",542000
"Borge - Valberg",459000
"Hol Østre",514000
"Hol Vestre",549000
"Buksnes Søndre",592000
"Buksnes Nordre",564000
"Vågan",526000
"Vågan Østre",503000
"Vågan Vestre",535000
"Vågan Nordre",535000
"Svolvær",523000
"Hadsel",539000
"Langøya",589000
"Stokmarknes",548000
"Melbu",533000
"Raftsundet",468000
"Bø (Nordland)",483000
"Bø Nordre",515000
"Bø Søndre",454000
"Malnes",468000
"Øksnes",520000
"Langenes",566000
"Øksnes",505000
"Sortland - Suortá",551000
"Vest - Nord",578000
"Syd - Sentrum",520000
"Nord - Øst",633000
"Andøy",538000
"Andenes",548000
"Dverberg",515000
"Bjørnskinn",501000
"Moskenes",452000
"Moskenes",452000
"Hábmer - Hamarøy",487000
"Hamarøy",478000
"Tysfjord Sør",519000
"Troms - Romsa - Tromssa",NA
"Finnmark - Finnmárku - Finmarkku",NA
"Uoppgitt kommune Nordland",NA
"Tromsø",NA
"Harstad - Hárstták",NA
"Kvæfjord",NA
"Dielddanuorri - Tjeldsund",NA
"Ibestad",NA
"Gratangen - Rivtták",NA
"Loabák - Lavangen",NA
"Bardu",NA
"Salangen",NA
"Målselv",NA
"Sørreisa",NA
"Dyrøy",NA
"Senja",NA
"Balsfjord",NA
"Karlsøy",NA
"Lyngen",NA
"Storfjord - Omasvuotna - Omasvuono",NA
"Gáivuotna - Kåfjord - Kaivuono",NA
"Skjervøy",NA
"Nordreisa - Ráisa - Raisi",NA
"Kvænangen",NA
"Alta",NA
"Hammerfest - Hámmerfeasta",NA
"Sør-Varanger",NA
"Vadsø",NA
"Kárásjohka - Karasjok",NA
"Guovdageaidnu - Kautokeino",NA
"Loppa",NA
"Hasvik",NA
"Måsøy",NA
"Nordkapp",NA
"Porsanger - Porsángu - Porsanki",NA
"Lebesby",NA
"Gamvik",NA
"Deatnu - Tana",NA
"Berlevåg",NA
"Båtsfjord",NA
"Vardø",NA
"Unjárga - Nesseby",NA
"Troms og Finnmark - Romsa ja Finnmárku (2020-2023)",554000
"Troms - Romsa (-2019)",NA
"Tromsø (2020-2023)",563000
"Harstad - Hárstták (2020-2023)",554000
"Alta (2020-2023)",610000
"Vardø (2020-2023)",459000
"Vadsø (2020-2023)",563000
"Hammerfest - Hámmerfeasta (2020-2023)",578000
"Kvæfjord (2020-2023)",562000
"Dielddanuorri - Tjeldsund (2020-2023)",543000
"Ibestad (2020-2023)",482000
"Gratangen (2020-2023)",474000
"Loabák - Lavangen (2020-2023)",544000
"Bardu (2020-2023)",569000
"Salangen (2020-2023)",522000
"Målselv (2020-2023)",556000
"Sørreisa (2020-2023)",572000
"Dyrøy (2020-2023)",501000
"Senja (2020-2023)",547000
"Balsfjord (2020-2023)",511000
"Karlsøy (2020-2023)",518000
"Lyngen (2020-2023)",540000
"Storfjord - Omasvuotna - Omasvuono (2020-2023)",532000
"Gáivuotna - Kåfjord - Kaivuono (2020-2023)",513000
"Skjervøy (2020-2023)",532000
"Nordreisa - Ráisa - Raisi (2020-2023)",561000
"Kvænangen (2020-2023)",514000
"Guovdageaidnu - Kautokeino (2020-2023)",579000
"Loppa (2020-2023)",474000
"Hasvik (2020-2023)",477000
"Måsøy (2020-2023)",511000
"Nordkapp (2020-2023)",518000
"Porsanger - Porsángu - Porsanki (2020-2023)",542000
"Kárásjohka - Karasjok (2020-2023)",576000
"Lebesby (2020-2023)",492000
"Gamvik (2020-2023)",419000
"Berlevåg (2020-2023)",506000
"Deatnu - Tana (2020-2023)",537000
"Unjárga - Nesseby (2020-2023)",468000
"Båtsfjord (2020-2023)",522000
"Sør-Varanger (2020-2023)",559000
"Harstad (-2012)",NA
"Tromsø (-2019)",NA
"Harstad - Hárstták (2013-2019)",NA
"Kvæfjord (-2019)",NA
"Skånland (1926-2019)",NA
"Bjarkøy (-2012)",NA
"Ibestad (-2019)",NA
"Gratangen (1926-2019)",NA
"Loabák - Lavangen (1907-2019)",NA
"Salangen (-1976)",NA
"Bardu (-2019)",NA
"Salangen (1977-2019)",NA
"Målselv (-2019)",NA
"Sørreisa (-2019)",NA
"Dyrøy (-2019)",NA
"Tranøy (-2019)",NA
"Torsken (-2019)",NA
"Berg (-2019)",NA
"Lenvik (-2019)",NA
"Balsfjord (-2019)",NA
"Karlsøy (-2019)",NA
"Lyngen (-2019)",NA
"Storfjord - Omasvuotna - Omasvuono (1931-2019)",NA
"Gáivuotna - Kåfjord - Kaivuono (1931-2019)",NA
"Skjervøy (-2019)",NA
"Nordreisa - Ráisa - Raisi (-2019)",NA
"Kvænangen (-2019)",NA
"Uoppgitt kommune Troms",NA
"Finnmark - Finnmárku (-2019)",NA
"Hammerfest (-1991)",NA
"Vardø (-2019)",NA
"Vadsø (-2019)",NA
"Hammerfest (1992-2019)",NA
"Guovdageaidnu - Kautokeino (-2019)",NA
"Alta (-2019)",NA
"Loppa (-2019)",NA
"Hasvik (-2019)",NA
"Sørøysund (-1991)",NA
"Kvalsund (-2019)",NA
"Måsøy (-2019)",NA
"Nordkapp (-2019)",NA
"Porsanger - Porsángu - Porsanki (1964-2019)",NA
"Kárásjohka - Karasjok (-2019)",NA
"Lebesby (-2019)",NA
"Gamvik (1914-2019)",NA
"Berlevåg (1914-2019)",NA
"Deatnu - Tana (-2019)",NA
"Unjárga - Nesseby (-2019)",NA
"Båtsfjord (1955-2019)",NA
"Sør-Varanger (-2019)",NA
"Uoppgitt kommune Finnmark",NA
"Svalbard",NA
"Svalbard",NA
"Longyearbyen arealplanområde",NA
"Ny-Ålesund arealplanområde",NA
"Sveagruva arealplanområde",NA
"Bjørnøya naturreservat",NA
"Hopen naturreservat",NA
"Uoppgitt kommune Svalbard",NA
"Jan Mayen",NA
"Jan Mayen",NA
"Uoppgitt Jan Mayen",NA
"Kontinentalsokkelen",NA
"Kontinentalsokkelen",NA
"Sokkelen sør for 62 grader N",NA
"Sokkelen nord for 62 grader N",NA
"Sokkelen, uspesifisert",NA
"Utlandet",NA
"Utlandet, uspesifisert",NA
"Havområder",NA
"Halden Vest",455000
"Halden Øst",538000
"Halden Syd",519000
"Tistedalsområdet",524000
"Berg - Sponviken",623000
"Rokke - Asak",678000
"Hovelsrød - Aspedammen",627000
"Prestebakke - Kornsjø - Holtet",507000
"Sydvestre Jeløy",554000
"Nordre Jeløy",558000
"Sydøstre Jeløy",545000
"Melløs - Øre",523000
"Sentrum",442000
"Mosseskogen Vest",590000
"Kambo",587000
"Mosseskogen Øst",524000
"Mosseelva - Dillingøya",487000
"Halmstad",512000
"Vang",764000
"Ekholt",561000
"Sarpsborg Vest",441000
"Sarpsborg Øst",401000
"Kurland",511000
"Ullerøy",639000
"Søndre - Østre Skjeberg",658000
"Borgen",569000
"Hafslund",541000
"Hafslundsøy",572000
"Lande",525000
"Yven",596000
"Greåker",544000
"Vest - Tune",647000
"Varteig",637000
"Østsiden Syd",488000
"Østsiden Nord",481000
"Sentrum Syd",405000
"Sentrum Vest",388000
"Glemmen Vest",666000
"Glemmen Nord",538000
"Glemmen Mellom",531000
"Sentrum Nord",477000
"Glemmen Øst",481000
"Glemmen Nord Øst",503000
"Hauge",477000
"Rekustad",562000
"Nylende",689000
"Nordre Kråkerøy",625000
"Vestre Kråkerøy",557000
"Søndre Kråkerøy",724000
"Gressvik Nordre",497000
"Gressvik Søndre",619000
"Sydbygda",716000
"Midtbygda",610000
"Vestbygda",684000
"Sellebakk",445000
"Torp",562000
"Borge",667000
"Torsnes",652000
"Åssiden",506000
"Øren - Underlia",507000
"Bragernes Sentrum",484000
"Fjellheim",521000
"Gulskogen - Sundhaugen",543000
"Strømsø",437000
"Tangen - Åskollen",508000
"Danvik - Fjell",542000
"Skoger",737000
"Konnerud",785000
"Krokstadelva",610000
"Solbergelva",604000
"Steinberg",629000
"Mjøndalen",573000
"Berger",547000
"Svelvik",555000
"Nesbygda",653000
"Tuft - Komnes - Efteløt",561000
"Hedenstad",632000
"Kongsberg Syd - Vestre",493000
"Kongsberg Nord - Vestre",494000
"Kongsberg Syd - Østre",660000
"Kongsberg Nord - Østre",626000
"Hønefoss",408000
"Ullerål",483000
"Haug",650000
"Norderhov",532000
"Ytre Soknedal",540000
"Tyristrand",581000
"Lunder",548000
"Ytre Ådal",598000
"Viker - Nes",495000
"Østre Hvaler",533000
"Vestre Hvaler",669000
"Aremark",555000
"Øymark",505000
"Rødenes",562000
"Rom",569000
"Askimbyen",475000
"Holterengen",607000
"Korsgården",540000
"Moen",561000
"Mysen Vest",470000
"Tenor - Kirkefjerdingen",577000
"Trømborg",598000
"Hærland",600000
"Mysen Øst",504000
"Spydeberg",584000
"Tomter",647000
"Knapstad",589000
"Ringvoll",598000
"Vestre Trøgstad",498000
"Østre Trøgstad",622000
"Båstad",574000
"Skiptvet",576000
"Nordre Rakkestad",533000
"Søndre Rakkestad",582000
"Vestre Råde",699000
"Midtre Råde",507000
"Østre Råde",664000
"Våler",650000
"Vestby",624000
"Såner",708000
"Siggerud",678000
"Langhus",671000
"Hebekk",655000
"Finstad",678000
"Ski Øst",608000
"Gjedsjø - Kråkstad",714000
"Kolbotn",721000
"Tårnåsen",612000
"Sofiemyr",719000
"Greverud",820000
"Svartskog",821000
"Nordby",673000
"Ås",564000
"Kroer",679000
"Drøbak",613000
"Frogn Syd",663000
"Frogn Nord",647000
"Berger",743000
"Tangen",675000
"Fjellstrand",666000
"Jaer",625000
"Myklerud",650000
"Bjørnemyr",634000
"Østerås - Eiksmarka",586000
"Hosle Nord",715000
"Voll",1018000
"Grav",824000
"Hosle Sør",899000
"Jar",892000
"Lysaker",633000
"Snarøya",810000
"Stabekk",687000
"Høvik",641000
"Løkeberg - Blommenholm",760000
"Haslum",767000
"Østre Bærumsmarka",734000
"Sandvika - Valler",554000
"Jong",523000
"Slependen - Tanum",680000
"Dønski - Rud",507000
"Kolsås",787000
"Rykkinn",586000
"Kirkerud - Sollihøgda",675000
"Bærums Verk",785000
"Lommedalen",930000
"Nesøya",913000
"Nesbru",827000
"Billingstad",685000
"Hvalstad",745000
"Skaugum",867000
"Sem",675000
"Syverstad",801000
"Fusdal",714000
"Sentrum",574000
"Drengsrud",764000
"Vettre",794000
"Borgen",592000
"Blakstad",678000
"Vollen",802000
"Heggedal",695000
"Solberg",655000
"Østbygda Slemmestad",677000
"Østbygda Åros",652000
"Midtbygda",711000
"Vestbygda",648000
"Vestre Hurum",601000
"Sydøstre Hurum",562000
"Nordøstre Hurum",632000
"Aurskog",606000
"Setskog",578000
"Bjørkelangen",543000
"Løken",539000
"Søndre Høland",540000
"Rømskog",535000
"Løvenstad",532000
"Rud",640000
"Blystadlia",558000
"Fjerdingby",577000
"Nordby",843000
"Flateby",646000
"Kirkebygda",612000
"Ytre Enebakk",627000
"Haneborglia",632000
"Kjenn - Fjellhamar",622000
"Skårer",507000
"Lysås - Løken",629000
"Finstad - Losby",807000
"Bjørnholt - Kurland",640000
"Volla",641000
"Stortorget",480000
"Vigernes",603000
"Kjeller",633000
"Leirsund",741000
"Skedsmokorset",697000
"Åsenhagen",661000
"Stalsberg",483000
"Retten",595000
"Skjetten",681000
"Hvam",602000
"Gjelleråsen",483000
"Blaker",622000
"Sørumsand",613000
"Sørum",730000
"Frogner",676000
"Hovinhøgda",685000
"Riddersand",727000
"Dalen",631000
"Nordre Hakadal",776000
"Søndre Hakadal",620000
"Rotnes",733000
"Slattum",693000
"Gjelleråsen",656000
"Gjerdrum",681000
"Kløfta",613000
"Jessheim",524000
"Borgen",685000
"Sand",579000
"Gardermoen",365000
"Mogreina",606000
"Nordkisa",615000
"Algarheim",645000
"Fenstad",629000
"Skogbygda",631000
"Vormnes",665000
"Årnes",511000
"Udnes",664000
"Feiring",597000
"Nordbygda",567000
"Ås",624000
"Østsida",561000
"Eidsvoll Verk",582000
"Råholt",579000
"Strandsåsen",644000
"Dal",573000
"Bjerke",611000
"Nannestad",536000
"Holter",686000
"Hurdal",530000
"Stein",662000
"Sundvollen",693000
"Røyse",605000
"Flå",487000
"Nes",537000
"Gol Aust",465000
"Gol Vest",569000
"Hemsedal",532000
"Sundre",528000
"Torpo - Nordbygden",591000
"Østre Hol",578000
"Vestre Hol",523000
"Nerstad",536000
"Prestfoss",498000
"Eggedal",590000
"Ytre Krødsherad",524000
"Øvre - Midtre Krødsherad",495000
"Åmot",526000
"Geithus",536000
"Vikersund",513000
"Drolsum - Snarum",632000
"Fiskum",629000
"Vestfossen",556000
"Hokksund Vest",647000
"Hokksund Øst",542000
"Skotselv",580000
"Høvik",664000
"Hegg",571000
"Egge",619000
"Sjåstad",607000
"Sylling",633000
"Nordal",736000
"Hallingstad",504000
"Lierskogen",801000
"Gullaug",680000
"Hennummarka",759000
"Flesberg",592000
"Rollag",516000
"Nore",502000
"Uvdal",555000
"Prestmoen Olimb",612000
"Nesbakken Glassverket",496000
"Samsmoen Nordby",603000
"Lunner",610000
"Grua",561000
"Harestua",661000
"Kongsvinger 1",459000
"Kongsvinger 2",512000
"Vinger",578000
"Austmarka",481000
"Brandval",537000
"Hamar Vest",491000
"Storhamar",637000
"Hamar Nord",721000
"Midtbyen",433000
"Hamar Øst",463000
"Vang Vest",633000
"Vang Midtre",540000
"Vang Øst",584000
"Vang Nord",673000
"Vingrom",650000
"Vingar",615000
"Fåberg",598000
"Sentrum Øst",483000
"Nordre Ål",527000
"Sentrum Vest",415000
"Søre Ål",689000
"Vindingstad",569000
"Kirkeby",453000
"Viken - Gjøvikjordet",481000
"Sentrum",337000
"Hovde - Engeland",486000
"Fredheim",653000
"Dalborgen - Kopperud",563000
"Hunndalen",514000
"Linnerud - Breiskallen",584000
"Haug",574000
"Redalen - Lundstein",572000
"Snertingdal",529000
"Biri",555000
"Deglum",601000
"Gjerlaug",681000
"Mørkved",515000
"Jemtland",506000
"Endelausen",608000
"Ottersrud",587000
"Kvarstad",562000
"Ingberg",572000
"Hjelthjelt",574000
"Sund",569000
"Tande",578000
"Sortungstad",486000
"Arneberg",593000
"Arnestad",584000
"Bergseng",632000
"Søndre Bygdelag",598000
"Midtre Bygdelag",554000
"Nordre Bygdelag",566000
"Tangen",591000
"Stange",522000
"Ottestad",593000
"Romedal",565000
"Vallset - Åsbygda",548000
"Sand",511000
"Mo",513000
"Skarnes",540000
"Oppstad",609000
"Strøm",593000
"Sander",592000
"Disenå",588000
"Vestmarka",513000
"Tollefsbøl",549000
"Matrand",531000
"Skotterud",437000
"Magnor",463000
"Vestsida",489000
"Namnå",498000
"Kirkenær",448000
"Grinder - Tjura",554000
"Grue Finnskog",388000
"Åsnes Vestside",507000
"Flisa",475000
"Sønsterud",514000
"Finnskogen",434000
"Arneberg",463000
"Våler",463000
"Braskereidfoss",515000
"Risberget",491000
"Strandbygda",579000
"Vestad",524000
"Leiret Nord - Søbakken",531000
"Leiret Syd",476000
"Hanstad",661000
"Søndre Elverum",571000
"Hernes",652000
"Østre Elverum",512000
"Sørskogbygda",529000
"Ljørdalen",449000
"Østby",486000
"Nybergsund",494000
"Vestre Trysil",460000
"Innbygda",479000
"Jordet",523000
"Rena",477000
"Deset",515000
"Nordre Osen",452000
"Søndre",372000
"Midtre",475000
"Nordre",416000
"Ytre Rendalen",457000
"Øvre Rendalen",469000
"Engerdal Sør",523000
"Engerdal Nord",525000
"Tolga",513000
"Tylldalen - Brydalen",555000
"Tynset Sør",535000
"Tynset Nord",597000
"Kvikne",544000
"Steigen",536000
"Plassen",661000
"Folldal",515000
"Os",538000
"Dovre Syd",473000
"Dovre Nord",528000
"Lesjaskog",568000
"Lesja",533000
"Skjåk",541000
"Nordberg",519000
"Lom Vest",511000
"Lom Aust",563000
"Vågåmo - Omegn",523000
"Lalm - Omegn",541000
"Kvikne",539000
"Ruste",488000
"Sødorp",522000
"Kvam",507000
"Sel",566000
"Otta",480000
"Heidal",530000
"Solsida",506000
"Baksida",544000
"Ringebu",513000
"Fåvang",511000
"Øyer Sokn",545000
"Tretten Sokn",523000
"Østre Gausdal",564000
"Vestre Gausdal Sør",498000
"Vestre Gausdal Nord",470000
"Kapp",604000
"Lena",460000
"Skreia",549000
"Lensbygda",574000
"Kolbu",546000
"Raufoss Øst",523000
"Raufoss Vest",511000
"Reinsvoll",562000
"Bøverbru",543000
"Eina",535000
"Vestsida",540000
"Nordre Brandbu",591000
"Brandbu",534000
"Jaren",598000
"Gran",532000
"Vestre Gran",592000
"Vestsiden",461000
"Fluberg",543000
"Hov - Fall",508000
"Trevatn",545000
"Enger",459000
"Østsinni",494000
"Nordsinni",523000
"Torpa",499000
"Bagn - Reinli",498000
"Begnadalen",468000
"Hedalen",431000
"Etnedal",457000
"Skrautvål",485000
"Aurdal",517000
"Svennes",529000
"Røn",532000
"Slidre",517000
"Lomen",502000
"Øystre Slidre Nord",505000
"Øystre Slidre Syd",555000
"Vang",533000
"Nykirke",612000
"Granly",612000
"Borre",617000
"Åsgårdstrand",559000
"Nordbyen",680000
"Holtandalen",570000
"Sentrum",431000
"Sydbyen",496000
"Holmestrand",412000
"Ekeberg - Borgen",604000
"Gullhaug - Hillestad",631000
"Hof - Eidsfoss",578000
"Kårby - Vassås",587000
"Bekkestranda",641000
"Sande",562000
"Nordre Sande",660000
"Sem",579000
"Barkåker",567000
"Eik",556000
"Klokkeråsen",648000
"Presterød",575000
"Ringshaug",674000
"Husvik",765000
"Husøy",737000
"Sentrum - Slottsfjellet",384000
"Banesløyfen",424000
"Stensarmen - Træleborg",408000
"Kaldnes - Tei",442000
"Solvang - Kilen - Byskogen",442000
"Våle",596000
"Undrumsdal",574000
"Ramnes",623000
"Fon - Vivestad",635000
"Sentrum",363000
"Hystad",611000
"Førstad",603000
"Bugården",533000
"Haukerød",570000
"Fevang",662000
"Breidablikk",594000
"From",564000
"Helgerød",703000
"Østerøy",589000
"Vesterøy",551000
"Kodal",649000
"Andebu",537000
"Høyjord - Vestre Andebu",532000
"Melsom",627000
"Stokke",534000
"Skjee",563000
"Langestrand",509000
"Hovedbyen",384000
"Torstrand",369000
"Byskogen",504000
"Tagtvedt",367000
"Østre Halsen",620000
"Tjodalyng",627000
"Nanset Øst",541000
"Nanset Vest",554000
"Hedrum Øst",609000
"Kvelde",619000
"Hvarnes",655000
"Stavern",504000
"Brunlanes Vestre",660000
"Brunlanes Nordre",631000
"Brunlanes Østre",653000
"Lardal",531000
"Bjørkedal - Oklungen - Langangen",621000
"Eidanger - Øyene",575000
"Heistad",655000
"Brevik",550000
"Herøya",540000
"Stridsklev - Hovet",573000
"Grønli",513000
"Porsgrunn Øst",485000
"Bjørntvedt - Myrene",461000
"Osebakken - Hovenga",518000
"Porsgrunn Vest",513000
"Sentrum",367000
"Falkum",442000
"Brekke",518000
"Gimsøy",478000
"Klosterskogen",575000
"Kjørbekk",547000
"Nenset",534000
"Klyve",507000
"Kilebygda",594000
"Mælum",633000
"Åfoss",650000
"Skotfoss",525000
"Vestre Gulset",797000
"Gulset",541000
"Fossum",648000
"Luksefjell",573000
"Opphaugen",622000
"Uthauen",653000
"Men",571000
"Gransherad",564000
"Heddal",591000
"Notodden Vest",448000
"Notodden Nordøst",522000
"Notodden Sør",447000
"Høgås",638000
"Teie",624000
"Rosanes",580000
"Borgheim",518000
"Føynland",670000
"Bergan",640000
"Torød",648000
"Brattås",613000
"Tjøme",557000
"Siljan",644000
"Herre",539000
"Midt - Bamble",653000
"Stathelle",628000
"Langesund",587000
"Vest - Bamble",560000
"Sannidal - Levang",538000
"Vadfoss",580000
"Helle - Skåtøy",559000
"Rørvik - Berg",530000
"Kragerø Sentrum",430000
"Tordal",538000
"Drangedal",509000
"Kroken",553000
"Lunde",528000
"Ulefoss",526000
"Fen",550000
"Bø Nordre",613000
"Bø Sentrum",491000
"Sauherad",584000
"Nes",529000
"Hovin - Austbygde - Tessungdalen",549000
"Atrå - Miland - Mæl",600000
"Rjukan",473000
"Hjartdal",560000
"Seljord",541000
"Flatdal",493000
"Åmotsdal",563000
"Kviteseid",539000
"Nissedal",557000
"Fyresdal",519000
"Tokke",542000
"Vinje",540000
"Rauland",595000
"Risør",522000
"Søndeled Ytre",509000
"Søndeled Indre",571000
"Vik - Fevik",606000
"Grimstad",493000
"Fjære - Hommedal",637000
"Landvik",650000
"Austre Moland",589000
"Flosta",568000
"Stokken",518000
"Tromøy Vest",644000
"Tromøy Øst",626000
"Hisøy",665000
"Øyestad Søndre",581000
"Øyestad Midtre",534000
"Øyestad Øvre",609000
"Arendal Sentrum",365000
"Arendal Vest",455000
"Arendal Nord",454000
"Arendal Øst",521000
"Flekkerøy",750000
"Voie - Møvig",580000
"Midtre Vågsbygd",547000
"Slettheia",494000
"Hellemyr - Fjellro",663000
"Tinnheia",507000
"Grim - Møllevann - Dalane",446000
"Kvadraturen - Eg",394000
"Lund - Sødal",514000
"Kongsgård Øvre - Gimlekollen",653000
"Stray",627000
"Mosby",569000
"Justvik",674000
"Ålefjær",711000
"Tveit",644000
"Hånes - Timenes",575000
"Søm - Torsvikheia",715000
"Ytre Randesund",670000
"Søgne Østre",577000
"Søgne Vestre",626000
"Finsland",584000
"Stokkeland",645000
"Nodeland",561000
"Brennåsen",540000
"Bykjernen",492000
"Skjebstad",566000
"Sånum - Lundevik",740000
"Skogsfjord - Hesland",549000
"Lindesnes",550000
"Holum",598000
"Harkmark",711000
"Skinsnes - Ime",510000
"Tregde - Skjernøy",730000
"Marnardal",558000
"Farsund",561000
"Vanse - Åpta",554000
"Lista",584000
"Hidra",576000
"Sentrum Vest",509000
"Sentrum Øst",594000
"Bakke - Gyland",590000
"Ytre Gjerstad",515000
"Øvre Gjerstad",493000
"Vegårdshei",552000
"Holt Vest",603000
"Tvedestrand",488000
"Holt Øst",580000
"Dypvåg",609000
"Froland",577000
"Høvåg",706000
"V. Moland - Lillesand",597000
"Birkenes",609000
"Herefoss - Vegusdal",517000
"Åmli",509000
"Iveland",578000
"Evje",503000
"Hornnes",544000
"Bygland",515000
"Valle",571000
"Bykle",525000
"Øvrebø - Hægeland",607000
"Vennesla Nord",522000
"Vennesla Midtre",545000
"Vennesla Sør",556000
"Åseral",580000
"Lyngdal Vestre",645000
"Lyngdal Østre",555000
"Lyngdal Søndre",543000
"Audnedal",619000
"Hægebostad",560000
"Eiken",684000
"Kvinesdal Ytre",629000
"Kvinesdal Sentrum",486000
"Kvinesdal Midtre",613000
"Kvinesdal Øvre",596000
"Sirdal",626000
"Bergen i alt",NA
"Arna",582000
"Bergen Sentrum",407000
"Bergenhus",439000
"Solheim",421000
"Fana",699000
"Fridalen - Slettebakken",448000
"Fyllingsdalen",607000
"Landås - Sædalen",557000
"Laksevåg",543000
"Årstad",540000
"Ytrebygda",735000
"Sandviken",462000
"Årstad",456000
"Eidsvåg",682000
"Åsane",616000
"Tertnes - Salhus",626000
"Åsane",603000
"Ytre Arna",519000
"Indre Arna",593000
"Lone",621000
"Nesttun",691000
"Kaland",656000
"Fana",769000
"Ytrebygda",739000
"Bønes",783000
"Fyllingsdalen",555000
"Loddefjord",593000
"Laksevåg",474000
"Uoppgitt bydel Bergen",NA
"Eikefjord - Bru",613000
"Kinn",523000
"Flora",599000
"Nord - Vågsøy",622000
"Fastlandet",674000
"Sør - Vågsøy",568000
"Etne",603000
"Skånevik",554000
"Sveio",628000
"Førde",623000
"Søre Bømlo",644000
"Finnås",678000
"Moster",648000
"Rubbestadneset",665000
"Bremnes",622000
"Sagvåg",633000
"Hodnaland",660000
"Leirvik",526000
"Hystad",628000
"Rommetveit",698000
"Fitjar",645000
"Tysnes",568000
"Ølve - Hatlestranda",547000
"Varaldsøy",489000
"Årvik - Mauranger - Ænes",623000
"Lyngstrand - Rosendal - Omvikdalen",618000
"Uskedalen - Herøysund",575000
"Husnes - Sunde - Valen",586000
"Sandvoll - Holmedal",637000
"Matre - Baugstranda - Åkra",582000
"Halsnøy - Fjelbergøy - Borgundøy",739000
"Røldal",606000
"Oddadalen",769000
"Odda",508000
"Vestsida",608000
"Austsida",532000
"Vestsida",602000
"Austsida - Oksenhalvøya",598000
"Jondal",593000
"Eidfjord",591000
"Ulvik",569000
"Evanger",589000
"Bulken",664000
"Bordalen",725000
"Kvitli",575000
"Tjukkebygdi",610000
"Vossevangen",510000
"Borstrondi",594000
"Raundalen",708000
"Vossestrand",626000
"Granvin",524000
"Ålvik",556000
"Øystese",611000
"Vikøy",608000
"Strandebarm",599000
"Samnanger",612000
