"region","median_inntekt"
"Hamar",539000
"Lillehammer",554000
"Gjøvik",520000
"Ringsaker",550000
"Løten",562000
"Stange",563000
"Nord-Odal",512000
"Sør-Odal",572000
"Eidskog",482000
"Grue",477000
"Åsnes",488000
"Våler (Innlandet)",487000
"Elverum",536000
"Trysil",484000
"Åmot",484000
"Stor-Elvdal",438000
"Rendalen",464000
"Engerdal",524000
"Tolga",513000
"Tynset",557000
"Alvdal",581000
"Folldal",514000
"Os",536000
"Dovre",503000
"Lesja",536000
"Skjåk",532000
"Lom",531000
"Vågå",527000
"Nord-Fron",507000
"Sel",512000
"Sør-Fron",516000
"Ringebu",511000
"Øyer",532000
"Gausdal",542000
"Østre Toten",543000
"Vestre Toten",529000
"Gran",559000
"Søndre Land",508000
"Nordre Land",500000
"Sør-Aurdal",476000
"Etnedal",457000
"Nord-Aurdal",501000
"Vestre Slidre",520000
"Øystre Slidre",533000
"Vang",533000
"Hamar (-1991)",NA
"Kongsvinger (-2019)",NA
"Hamar (1992-2019)",NA
"Ringsaker (-2019)",NA
"Vang (-1991)",NA
"Løten (-2019)",NA
"Stange (-2019)",NA
"Nord-Odal (-2019)",NA
"Sør-Odal (-2019)",NA
"Eidskog (-2019)",NA
"Grue (-2019)",NA
"Åsnes (-2019)",NA
"Våler (Hedmark) (-2019)",NA
"Elverum (-2019)",NA
"Trysil (-2019)",NA
"Åmot (-2019)",NA
"Stor-Elvdal (-2019)",NA
"Rendalen (1965-2019)",NA
"Engerdal (1911-2019)",NA
"Tolga-Os (1966-1975)",NA
"Tolga (-2019)",NA
"Tynset (-2019)",NA
"Alvdal (-2019)",NA
"Folldal (1914-2019)",NA
"Os (Hedmark) (1976-2019)",NA
"Uoppgitt kommune Hedmark",NA
"Oppland (-2019)",NA
"Lillehammer (-2019)",NA
"Gjøvik (-2019)",NA
"Dovre (-2019)",NA
"Lesja (-2019)",NA
"Skjåk (-2019)",NA
"Lom (-2019)",NA
"Vågå (-2019)",NA
"Nord-Fron (1977-2019)",NA
"Sel (1908-2019)",NA
"Fron (1966-1976)",NA
"Sør-Fron (-2019)",NA
"Ringebu (-2019)",NA
"Øyer (-2019)",NA
"Gausdal (1962-2019)",NA
"Østre Toten (-2019)",NA
"Vestre Toten (-2019)",NA
"Jevnaker (-2019)",NA
"Lunner (-2019)",NA
"Gran (-2019)",NA
"Søndre Land (-2019)",NA
"Nordre Land (-2019)",NA
"Sør-Aurdal (-2019)",NA
"Etnedal (-2019)",NA
"Nord-Aurdal (-2019)",NA
"Vestre Slidre (-2019)",NA
"Øystre Slidre (-2019)",NA
"Vang (-2019)",NA
"Uoppgitt kommune Oppland",NA
"Buskerud (-2019)",NA
"Vestfold og Telemark (2020-2023)",548000
"Horten (2020-2023)",543000
"Holmestrand (2020-2023)",585000
"Tønsberg (2020-2023)",551000
"Sandefjord (2020-2023)",541000
"Larvik (2020-2023)",543000
"Porsgrunn (2020-2023)",545000
"Skien (2020-2023)",538000
"Notodden (2020-2023)",520000
"Færder (2020-2023)",588000
"Siljan (2020-2023)",644000
"Bamble (2020-2023)",604000
"Kragerø (2020-2023)",518000
"Drangedal (2020-2023)",526000
"Nome (2020-2023)",533000
"Midt-Telemark (2020-2023)",533000
"Tinn (2020-2023)",514000
"Hjartdal (2020-2023)",559000
"Seljord (2020-2023)",536000
"Kviteseid (2020-2023)",539000
"Nissedal (2020-2023)",556000
"Fyresdal (2020-2023)",519000
"Tokke (2020-2023)",542000
"Vinje (2020-2023)",554000
"Ringerike (1964-1976)",NA
"Drammen (-2019)",NA
"Kongsberg (-2019)",NA
"Ringerike (1977-2019)",NA
"Hole (1977-2019)",NA
"Flå (-2019)",NA
"Nes (Buskerud) (-2019)",NA
"Gol (-2019)",NA
"Hemsedal (-2019)",NA
"Ål (-2019)",NA
"Hol (-2019)",NA
"Sigdal (-2019)",NA
"Krødsherad (-2019)",NA
"Modum (-2019)",NA
"Øvre Eiker (-2019)",NA
"Nedre Eiker (-2019)",NA
"Lier (-2019)",NA
"Røyken (-2019)",NA
"Hurum (-2019)",NA
"Flesberg (-2019)",NA
"Rollag (-2019)",NA
"Nore og Uvdal (1962-2019)",NA
"Vestfold",NA
"Uoppgitt kommune Buskerud",NA
"Horten",NA
"Holmestrand",NA
"Tønsberg",NA
"Sandefjord",NA
"Larvik",NA
"Færder",NA
"Telemark",NA
"Porsgrunn",NA
"Skien",NA
"Notodden",NA
"Siljan",NA
"Bamble",NA
"Kragerø",NA
"Drangedal",NA
"Nome",NA
"Midt-Telemark",NA
"Seljord",NA
"Hjartdal",NA
"Tinn",NA
"Kviteseid",NA
"Nissedal",NA
"Fyresdal",NA
"Tokke",NA
"Vinje",NA
"Vestfold (-2019)",NA
"Horten (2002-2019)",NA
"Holmestrand (-2017)",NA
"Horten (-1987)",NA
"Tønsberg (1988-2019)",NA
"Tønsberg (-1987)",NA
"Sandefjord (-2016)",NA
"Larvik (-1987)",NA
"Stavern (1944-1987)",NA
"Larvik (1988-2017)",NA
"Sandefjord (2017-2019)",NA
"Svelvik (1964-2019)",NA
"Larvik (2018-2019)",NA
"Sande (Vestfold) (-2019)",NA
"Hof (-2017)",NA
"Holmestrand (2018-2019)",NA
"Re (2002-2019)",NA
"Våle (-2001)",NA
"Borre (-1987)",NA
"Ramnes (-2001)",NA
"Andebu (-2016)",NA
"Stokke (-2016)",NA
"Sem (-1987)",NA
"Nøtterøy (-2017)",NA
"Tjøme (-2017)",NA
"Sandar (-1967)",NA
"Tjølling (-1987)",NA
"Brunlanes (-1987)",NA
"Hedrum (-1987)",NA
"Lardal (-2017)",NA
"Færder (2018-2019)",NA
"Uoppgitt kommune Vestfold",NA
"Telemark (-2019)",NA
"Porsgrunn (-2019)",NA
"Skien (-2019)",NA
"Notodden (1913-2019)",NA
"Siljan (-2019)",NA
"Bamble (-2019)",NA
"Kragerø (1960-2019)",NA
"Drangedal (-2019)",NA
"Nome (1964-2019)",NA
"Bø (Telemark) (-2019)",NA
"Sauherad (-2019)",NA
"Tinn (-2019)",NA
"Hjartdal (-2019)",NA
"Seljord (-2019)",NA
"Kviteseid (-2019)",NA
"Nissedal (-2019)",NA
"Fyresdal (-2019)",NA
"Tokke (1964-2019)",NA
"Vinje (-2019)",NA
"Uoppgitt kommune Telemark",NA
"Agder",554000
"Aust-Agder (-2019)",NA
"Risør",519000
"Grimstad",566000
"Arendal",538000
"Kristiansand",554000
"Lindesnes",554000
"Farsund",562000
"Flekkefjord",568000
"Gjerstad",504000
"Vegårshei",552000
"Tvedestrand",540000
"Froland",577000
"Lillesand",614000
"Birkenes",590000
"Åmli",509000
"Iveland",578000
"Evje og Hornnes",524000
"Bygland",515000
"Valle",571000
"Bykle",525000
"Vennesla",549000
"Åseral",580000
"Lyngdal",566000
"Hægebostad",630000
"Kvinesdal",553000
"Sirdal",626000
"Risør (-2019)",NA
"Arendal (-1991)",NA
"Grimstad (-2019)",NA
"Arendal (1992-2019)",NA
"Gjerstad (-2019)",NA
"Vegårshei (-2019)",NA
"Tvedestrand (-2019)",NA
"Moland (1962-1991)",NA
"Froland (-2019)",NA
"Øyestad (-1991)",NA
"Tromøy (-1991)",NA
"Hisøy (-1991)",NA
"Fjære (-1970)",NA
"Landvik (-1970)",NA
"Lillesand (1962-2019)",NA
"Birkenes (-2019)",NA
"Åmli (-2019)",NA
"Mykland (-1966)",NA
"Herefoss (-1966)",NA
"Iveland (-2019)",NA
"Evje og Hornnes (1960-2019)",NA
"Bygland (-2019)",NA
"Valle (-2019)",NA
"Bykle (-2019)",NA
"Uoppgitt kommune Aust-Agder",NA
"Vest-Agder (-2019)",NA
"Kristiansand (-2019)",NA
"Mandal (-2019)",NA
"Farsund (-2019)",NA
"Flekkefjord (-2019)",NA
"Vennesla (-2019)",NA
"Songdalen (1964-2019)",NA
"Søgne (-2019)",NA
"Marnardal (1964-2019)",NA
"Åseral (-2019)",NA
"Audnedal (1964-2019)",NA
"Lindesnes (1964-2019)",NA
"Lyngdal (-2019)",NA
"Hægebostad (-2019)",NA
"Kvinesdal (-2019)",NA
"Sirdal (1960-2019)",NA
"Uoppgitt kommune Vest-Agder",NA
"Rogaland",617000
"Eigersund",604000
"Eigerøy",706000
"Hellvik",665000
"Eie",555000
"Egersund",565000
"Mong",693000
"Helleland",648000
"Sandnes (-2019)",NA
"Stavanger",609000
"Hundvåg",693000
"Buøy",628000
"Tasta",662000
"Johannes",453000
"Eiganes/Våland",588000
"Nylund",542000
"Madla",660000
"Varden",554000
"Storhaug",495000
"Bergjeland",447000
"Hillevåg",544000
"Våland",584000
"Hinna",719000
"Ullandhaug",582000
"Finnøy",619000
"Eiganes",530000
"Rennesøy",717000
"Kampen",546000
"Finnøy",619000
"Øyene",767000
"Hundvåg",695000
"Rennesøy",652000
"Bru - Sokn - Mosterøy",815000
"Jåtten",705000
"Vaulen",743000
"Kvalberg",518000
"Tjensvoll",487000
"Stokka",775000
"Madlamark",754000
"Hafrsfjord",730000
"Kvernevik",634000
"Sunde",720000
"Indre Tasta",693000
"Ytre Tasta",660000
"Uoppgitt bydel Stavanger",NA
"Haugesund",526000
"Sakkestad",550000
"Rossabø",645000
"Håvåsen",467000
"Øyene",446000
"Sentrum",355000
"Flotmyr",454000
"Solvang",603000
"Hauge",483000
"Gard",645000
"Sandnes",636000
"Sentrum",428000
"Stokke - Lura - Trones",605000
"Soma - Stangeland",687000
