"aar","valgtype","sted_type","sted_navn","overordnet_navn","parti_kode","parti_navn","mandater_antall","mandater_endring"
"2023","ko","kommune","Oslo","Oslo","A","Arbeiderpartiet",11,-1
"2023","ko","kommune","Oslo","Oslo","SV","SV - Sosialistisk Venstreparti",6,0
"2023","ko","kommune","Oslo","Oslo","RØDT","Rødt",4,0
"2023","ko","kommune","Oslo","Oslo","SP","Senterpartiet",0,-1
"2023","ko","kommune","Oslo","Oslo","KRF","Kristelig Folkeparti",1,0
"2023","ko","kommune","Oslo","Oslo","MDG","Miljøpartiet De Grønne",6,-3
"2023","ko","kommune","Oslo","Oslo","V","Venstre",6,2
"2023","ko","kommune","Oslo","Oslo","H","Høyre",20,5
"2023","ko","kommune","Oslo","Oslo","FRP","Fremskrittspartiet",4,1
"2023","ko","kommune","Oslo","Oslo","AAN","Alliansen - Alternativ for Norge",0,0
"2023","ko","kommune","Oslo","Oslo","DEMN","Norgesdemokratene",0,0
"2023","ko","kommune","Oslo","Oslo","FNB","Folkets Parti",0,-4
"2023","ko","kommune","Oslo","Oslo","INP","Industri- og Næringspartiet",0,0
"2023","ko","kommune","Oslo","Oslo","KRISTNE","Konservativt",0,0
"2023","ko","kommune","Oslo","Oslo","KYST","Kystpartiet",0,0
"2023","ko","kommune","Oslo","Oslo","LIBS","Liberalistene",0,0
"2023","ko","kommune","Oslo","Oslo","NKP","Norges Kommunistiske Parti",0,0
"2023","ko","kommune","Oslo","Oslo","PP","Pensjonistpartiet",0,0
"2023","ko","kommune","Oslo","Oslo","PS","Partiet Sentrum",1,1
"2023","ko","kommune","Oslo","Oslo","BLANKE","Blanke",0,0
"2023","ko","kommune","Oslo","Oslo","FSL","Folkestyret-listen",0,0
"2023","ko","kommune","Oslo","Oslo","PMB","Partiet Mot Bompenger",0,0
"2023","ko","kommune","Oslo","Oslo","Andre","Andre",1,-3
"2023","ko","kommune","Oslo","Oslo","Andre2","Andre2",0,0
"2023","ko","kommune","Eigersund","Rogaland","A","Arbeiderpartiet",8,-2
"2023","ko","kommune","Eigersund","Rogaland","SV","SV - Sosialistisk Venstreparti",1,-1
"2023","ko","kommune","Eigersund","Rogaland","RØDT","Rødt",0,0
"2023","ko","kommune","Eigersund","Rogaland","SP","Senterpartiet",2,-2
"2023","ko","kommune","Eigersund","Rogaland","KRF","Kristelig Folkeparti",3,0
"2023","ko","kommune","Eigersund","Rogaland","MDG","Miljøpartiet De Grønne",0,0
"2023","ko","kommune","Eigersund","Rogaland","V","Venstre",1,0
"2023","ko","kommune","Eigersund","Rogaland","H","Høyre",7,2
"2023","ko","kommune","Eigersund","Rogaland","FRP","Fremskrittspartiet",7,1
"2023","ko","kommune","Eigersund","Rogaland","INP","Industri- og Næringspartiet",2,2
"2023","ko","kommune","Eigersund","Rogaland","PP","Pensjonistpartiet",0,0
"2023","ko","kommune","Eigersund","Rogaland","BLANKE","Blanke",0,0
"2023","ko","kommune","Eigersund","Rogaland","Andre","Andre",2,2
"2023","ko","kommune","Eigersund","Rogaland","Andre2","Andre2",0,0
"2023","ko","kommune","Stavanger","Rogaland","A","Arbeiderpartiet",22,4
"2023","ko","kommune","Stavanger","Rogaland","SV","SV - Sosialistisk Venstreparti",3,0
"2023","ko","kommune","Stavanger","Rogaland","RØDT","Rødt",3,-1
"2023","ko","kommune","Stavanger","Rogaland","SP","Senterpartiet",1,-2
"2023","ko","kommune","Stavanger","Rogaland","KRF","Kristelig Folkeparti",3,0
"2023","ko","kommune","Stavanger","Rogaland","MDG","Miljøpartiet De Grønne",2,-2
"2023","ko","kommune","Stavanger","Rogaland","V","Venstre",3,0
"2023","ko","kommune","Stavanger","Rogaland","H","Høyre",21,5
"2023","ko","kommune","Stavanger","Rogaland","FRP","Fremskrittspartiet",6,0
"2023","ko","kommune","Stavanger","Rogaland","DEMN","Norgesdemokratene",0,0
"2023","ko","kommune","Stavanger","Rogaland","FNB","Folkets Parti",0,-6
"2023","ko","kommune","Stavanger","Rogaland","INP","Industri- og Næringspartiet",2,2
"2023","ko","kommune","Stavanger","Rogaland","KRISTNE","Konservativt",0,0
"2023","ko","kommune","Stavanger","Rogaland","LIBS","Liberalistene",0,0
"2023","ko","kommune","Stavanger","Rogaland","PP","Pensjonistpartiet",1,0
"2023","ko","kommune","Stavanger","Rogaland","PS","Partiet Sentrum",0,0
"2023","ko","kommune","Stavanger","Rogaland","BLANKE","Blanke",0,0
"2023","ko","kommune","Stavanger","Rogaland","FOLKE","Folkestyret- listen",0,0
"2023","ko","kommune","Stavanger","Rogaland","Andre","Andre",3,-4
"2023","ko","kommune","Stavanger","Rogaland","Andre2","Andre2",0,0
"2023","ko","kommune","Haugesund","Rogaland","A","Arbeiderpartiet",11,-4
"2023","ko","kommune","Haugesund","Rogaland","SV","SV - Sosialistisk Venstreparti",4,1
"2023","ko","kommune","Haugesund","Rogaland","RØDT","Rødt",1,0
"2023","ko","kommune","Haugesund","Rogaland","SP","Senterpartiet",1,-1
"2023","ko","kommune","Haugesund","Rogaland","KRF","Kristelig Folkeparti",2,0
"2023","ko","kommune","Haugesund","Rogaland","MDG","Miljøpartiet De Grønne",1,-2
"2023","ko","kommune","Haugesund","Rogaland","V","Venstre",2,1
"2023","ko","kommune","Haugesund","Rogaland","H","Høyre",15,1
"2023","ko","kommune","Haugesund","Rogaland","FRP","Fremskrittspartiet",7,1
"2023","ko","kommune","Haugesund","Rogaland","DEMN","Norgesdemokratene",0,0
"2023","ko","kommune","Haugesund","Rogaland","INP","Industri- og Næringspartiet",3,3
"2023","ko","kommune","Haugesund","Rogaland","KRISTNE","Konservativt",0,0
"2023","ko","kommune","Haugesund","Rogaland","LIBS","Liberalistene",0,0
"2023","ko","kommune","Haugesund","Rogaland","PP","Pensjonistpartiet",2,0
"2023","ko","kommune","Haugesund","Rogaland","BLANKE","Blanke",0,0
"2023","ko","kommune","Haugesund","Rogaland","Andre","Andre",5,3
"2023","ko","kommune","Haugesund","Rogaland","Andre2","Andre2",0,0
"2023","ko","kommune","Sandnes","Rogaland","A","Arbeiderpartiet",8,-5
"2023","ko","kommune","Sandnes","Rogaland","SV","SV - Sosialistisk Venstreparti",3,1
"2023","ko","kommune","Sandnes","Rogaland","RØDT","Rødt",1,0
"2023","ko","kommune","Sandnes","Rogaland","SP","Senterpartiet",2,-1
"2023","ko","kommune","Sandnes","Rogaland","KRF","Kristelig Folkeparti",4,0
"2023","ko","kommune","Sandnes","Rogaland","MDG","Miljøpartiet De Grønne",1,-2
"2023","ko","kommune","Sandnes","Rogaland","V","Venstre",2,1
"2023","ko","kommune","Sandnes","Rogaland","H","Høyre",13,5
"2023","ko","kommune","Sandnes","Rogaland","FRP","Fremskrittspartiet",12,3
"2023","ko","kommune","Sandnes","Rogaland","DEMN","Norgesdemokratene",0,0
"2023","ko","kommune","Sandnes","Rogaland","FNB","Folkets Parti",0,-5
"2023","ko","kommune","Sandnes","Rogaland","INP","Industri- og Næringspartiet",2,2
"2023","ko","kommune","Sandnes","Rogaland","KRISTNE","Konservativt",0,0
"2023","ko","kommune","Sandnes","Rogaland","LIBS","Liberalistene",0,0
"2023","ko","kommune","Sandnes","Rogaland","PP","Pensjonistpartiet",1,1
"2023","ko","kommune","Sandnes","Rogaland","PS","Partiet Sentrum",0,0
"2023","ko","kommune","Sandnes","Rogaland","BLANKE","Blanke",0,0
"2023","ko","kommune","Sandnes","Rogaland","Andre","Andre",3,-2
"2023","ko","kommune","Sandnes","Rogaland","Andre2","Andre2",0,0
"2023","ko","kommune","Sokndal","Rogaland","A","Arbeiderpartiet",4,-1
"2023","ko","kommune","Sokndal","Rogaland","RØDT","Rødt",1,1
"2023","ko","kommune","Sokndal","Rogaland","SP","Senterpartiet",3,0
"2023","ko","kommune","Sokndal","Rogaland","KRF","Kristelig Folkeparti",6,1
"2023","ko","kommune","Sokndal","Rogaland","V","Venstre",2,1
