"aar","valgtype","fylke_navn","kommune_navn","valgkrets_navn","valgkrets_nr","parti_kode","parti_navn","parti_kategori","stemmer_prosent","stemmer_antall","stemmer_fhs"
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","A","Arbeiderpartiet",1,26.105,1258,1257
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","SP","Senterpartiet",1,3.94273,190,190
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","KRF","Kristelig Folkeparti",1,2.90517,140,140
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","MDG","Miljøpartiet De Grønne",1,3.81822,184,184
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","V","Venstre",1,5.00104,241,240
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","H","Høyre",1,35.75431,1723,1723
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","FRP","Fremskrittspartiet",1,15.33513,739,739
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","BLANKE","Blanke",3,0.70554,34,34
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","R_SVL","Felleslista for Rødt og Sosialistisk Venstreparti",3,7.13841,344,343
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","Andre","Andre",0,7.13841,344,343
"2017","ko","Vestfold","Færder","Uoppgitt krets","0000","Andre2","Andre2",0,0,0,0
"2017","ko","Vestfold","Færder","Tjøme","0001","A","Arbeiderpartiet",1,25.90769,421,0
"2017","ko","Vestfold","Færder","Tjøme","0001","SP","Senterpartiet",1,4.55385,74,0
"2017","ko","Vestfold","Færder","Tjøme","0001","KRF","Kristelig Folkeparti",1,2.70769,44,0
"2017","ko","Vestfold","Færder","Tjøme","0001","MDG","Miljøpartiet De Grønne",1,6.21538,101,0
"2017","ko","Vestfold","Færder","Tjøme","0001","V","Venstre",1,10.64615,173,0
"2017","ko","Vestfold","Færder","Tjøme","0001","H","Høyre",1,27.13846,441,0
"2017","ko","Vestfold","Færder","Tjøme","0001","FRP","Fremskrittspartiet",1,16.12308,262,0
"2017","ko","Vestfold","Færder","Tjøme","0001","BLANKE","Blanke",3,1.41538,23,0
"2017","ko","Vestfold","Færder","Tjøme","0001","R_SVL","Felleslista for Rødt og Sosialistisk Venstreparti",3,6.70769,109,0
"2017","ko","Vestfold","Færder","Tjøme","0001","Andre","Andre",0,6.70769,109,0
"2017","ko","Vestfold","Færder","Tjøme","0001","Andre2","Andre2",0,0,0,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","A","Arbeiderpartiet",1,25.14749,682,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","SP","Senterpartiet",1,4.31416,117,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","KRF","Kristelig Folkeparti",1,4.05605,110,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","MDG","Miljøpartiet De Grønne",1,2.39676,65,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","V","Venstre",1,5.67847,154,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","H","Høyre",1,37.75811,1024,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","FRP","Fremskrittspartiet",1,11.83628,321,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","BLANKE","Blanke",3,0.9587,26,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","R_SVL","Felleslista for Rødt og Sosialistisk Venstreparti",3,8.81268,239,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","Andre","Andre",0,8.81268,239,0
"2017","ko","Vestfold","Færder","Hårkollen","0002","Andre2","Andre2",0,0,0,0
"2017","ko","Vestfold","Færder","Herstad","0003","A","Arbeiderpartiet",1,30.84824,931,0
"2017","ko","Vestfold","Færder","Herstad","0003","SP","Senterpartiet",1,4.27435,129,0
"2017","ko","Vestfold","Færder","Herstad","0003","KRF","Kristelig Folkeparti",1,3.77734,114,0
"2017","ko","Vestfold","Færder","Herstad","0003","MDG","Miljøpartiet De Grønne",1,3.28032,99,0
"2017","ko","Vestfold","Færder","Herstad","0003","V","Venstre",1,6.03048,182,0
"2017","ko","Vestfold","Færder","Herstad","0003","H","Høyre",1,31.90855,963,0
"2017","ko","Vestfold","Færder","Herstad","0003","FRP","Fremskrittspartiet",1,11.9947,362,0
"2017","ko","Vestfold","Færder","Herstad","0003","BLANKE","Blanke",3,1.32538,40,0
"2017","ko","Vestfold","Færder","Herstad","0003","R_SVL","Felleslista for Rødt og Sosialistisk Venstreparti",3,7.88602,238,0
"2017","ko","Vestfold","Færder","Herstad","0003","Andre","Andre",0,7.88602,238,0
"2017","ko","Vestfold","Færder","Herstad","0003","Andre2","Andre2",0,0,0,0
"2017","ko","Vestfold","Færder","Teie","0004","A","Arbeiderpartiet",1,23.96065,755,0
"2017","ko","Vestfold","Færder","Teie","0004","SP","Senterpartiet",1,3.49096,110,0
"2017","ko","Vestfold","Færder","Teie","0004","KRF","Kristelig Folkeparti",1,3.52269,111,0
"2017","ko","Vestfold","Færder","Teie","0004","MDG","Miljøpartiet De Grønne",1,3.36401,106,0
"2017","ko","Vestfold","Færder","Teie","0004","V","Venstre",1,8.18788,258,0
"2017","ko","Vestfold","Færder","Teie","0004","H","Høyre",1,40.36814,1272,0
"2017","ko","Vestfold","Færder","Teie","0004","FRP","Fremskrittspartiet",1,9.83815,310,0
"2017","ko","Vestfold","Færder","Teie","0004","BLANKE","Blanke",3,1.01555,32,0
"2017","ko","Vestfold","Færder","Teie","0004","R_SVL","Felleslista for Rødt og Sosialistisk Venstreparti",3,7.26753,229,0
"2017","ko","Vestfold","Færder","Teie","0004","Andre","Andre",0,7.26753,229,0
"2017","ko","Vestfold","Færder","Teie","0004","Andre2","Andre2",0,0,0,0
"2017","st","Østfold","Halden","Uoppgitt krets","0000","A","Arbeiderpartiet",1,30.14424,1024,1018
"2017","st","Østfold","Halden","Uoppgitt krets","0000","SV","Sosialistisk Venstreparti",1,4.94554,168,167
"2017","st","Østfold","Halden","Uoppgitt krets","0000","RØDT","Rødt",1,2.79659,95,94
"2017","st","Østfold","Halden","Uoppgitt krets","0000","SP","Senterpartiet",1,8.00707,272,270
"2017","st","Østfold","Halden","Uoppgitt krets","0000","KRF","Kristelig Folkeparti",1,4.71004,160,158
"2017","st","Østfold","Halden","Uoppgitt krets","0000","MDG","Miljøpartiet De Grønne",1,3.91522,133,133
"2017","st","Østfold","Halden","Uoppgitt krets","0000","V","Venstre",1,2.23727,76,76
"2017","st","Østfold","Halden","Uoppgitt krets","0000","H","Høyre",1,22.90256,778,777
"2017","st","Østfold","Halden","Uoppgitt krets","0000","FRP","Fremskrittspartiet",1,17.54489,596,595
"2017","st","Østfold","Halden","Uoppgitt krets","0000","ALLI","Alliansen",2,0.11775,4,4
"2017","st","Østfold","Halden","Uoppgitt krets","0000","DEMN","Demokratene i Norge",2,0.17663,6,6
"2017","st","Østfold","Halden","Uoppgitt krets","0000","HELSE","Helsepartiet",2,0.67707,23,23
"2017","st","Østfold","Halden","Uoppgitt krets","0000","KRISTNE","Partiet De Kristne",2,0.61819,21,21
"2017","st","Østfold","Halden","Uoppgitt krets","0000","KYST","Kystpartiet",2,0,0,0
"2017","st","Østfold","Halden","Uoppgitt krets","0000","LIBS","Liberalistene",2,0.50044,17,17
"2017","st","Østfold","Halden","Uoppgitt krets","0000","PP","Pensjonistpartiet",2,0.70651,24,24
"2017","st","Østfold","Halden","Uoppgitt krets","0000","BLANKE","Blanke",3,0.88313,30,29
"2017","st","Østfold","Halden","Uoppgitt krets","0000","Andre","Andre",0,2.79659,95,95
"2017","st","Østfold","Halden","Uoppgitt krets","0000","Andre2","Andre2",0,0,0,0
"2017","st","Østfold","Halden","Halden","0001","A","Arbeiderpartiet",1,33.53965,867,0
"2017","st","Østfold","Halden","Halden","0001","SV","Sosialistisk Venstreparti",1,6.96325,180,0
"2017","st","Østfold","Halden","Halden","0001","RØDT","Rødt",1,4.02321,104,0
"2017","st","Østfold","Halden","Halden","0001","SP","Senterpartiet",1,5.76402,149,0
"2017","st","Østfold","Halden","Halden","0001","KRF","Kristelig Folkeparti",1,3.36557,87,0
"2017","st","Østfold","Halden","Halden","0001","MDG","Miljøpartiet De Grønne",1,3.2882,85,0
"2017","st","Østfold","Halden","Halden","0001","V","Venstre",1,3.05609,79,0
"2017","st","Østfold","Halden","Halden","0001","H","Høyre",1,22.01161,569,0
"2017","st","Østfold","Halden","Halden","0001","FRP","Fremskrittspartiet",1,16.75048,433,0
"2017","st","Østfold","Halden","Halden","0001","ALLI","Alliansen",2,0.11605,3,0
"2017","st","Østfold","Halden","Halden","0001","DEMN","Demokratene i Norge",2,0.15474,4,0
"2017","st","Østfold","Halden","Halden","0001","HELSE","Helsepartiet",2,0.30948,8,0
"2017","st","Østfold","Halden","Halden","0001","KRISTNE","Partiet De Kristne",2,0.15474,4,0
"2017","st","Østfold","Halden","Halden","0001","KYST","Kystpartiet",2,0.03868,1,0
"2017","st","Østfold","Halden","Halden","0001","LIBS","Liberalistene",2,0.15474,4,0
"2017","st","Østfold","Halden","Halden","0001","PP","Pensjonistpartiet",2,0.30948,8,0
"2017","st","Østfold","Halden","Halden","0001","BLANKE","Blanke",3,1.12186,29,0
"2017","st","Østfold","Halden","Halden","0001","Andre","Andre",0,1.23791,32,0
"2017","st","Østfold","Halden","Halden","0001","Andre2","Andre2",0,0,0,0
"2017","st","Østfold","Halden","Hjortsberg","0002","A","Arbeiderpartiet",1,30.87446,1151,0
"2017","st","Østfold","Halden","Hjortsberg","0002","SV","Sosialistisk Venstreparti",1,4.74785,177,0
"2017","st","Østfold","Halden","Hjortsberg","0002","RØDT","Rødt",1,1.50215,56,0
"2017","st","Østfold","Halden","Hjortsberg","0002","SP","Senterpartiet",1,8.95923,334,0
"2017","st","Østfold","Halden","Hjortsberg","0002","KRF","Kristelig Folkeparti",1,5.6867,212,0
"2017","st","Østfold","Halden","Hjortsberg","0002","MDG","Miljøpartiet De Grønne",1,3.48712,130,0
"2017","st","Østfold","Halden","Hjortsberg","0002","V","Venstre",1,3.11159,116,0
"2017","st","Østfold","Halden","Hjortsberg","0002","H","Høyre",1,25.05365,934,0
"2017","st","Østfold","Halden","Hjortsberg","0002","FRP","Fremskrittspartiet",1,15.1824,566,0
"2017","st","Østfold","Halden","Hjortsberg","0002","ALLI","Alliansen",2,0.05365,2,0
"2017","st","Østfold","Halden","Hjortsberg","0002","DEMN","Demokratene i Norge",2,0.08047,3,0
"2017","st","Østfold","Halden","Hjortsberg","0002","HELSE","Helsepartiet",2,0.48283,18,0
"2017","st","Østfold","Halden","Hjortsberg","0002","KRISTNE","Partiet De Kristne",2,0.16094,6,0
"2017","st","Østfold","Halden","Hjortsberg","0002","KYST","Kystpartiet",2,0.05365,2,0
"2017","st","Østfold","Halden","Hjortsberg","0002","LIBS","Liberalistene",2,0.24142,9,0
"2017","st","Østfold","Halden","Hjortsberg","0002","PP","Pensjonistpartiet",2,0.32189,12,0
"2017","st","Østfold","Halden","Hjortsberg","0002","BLANKE","Blanke",3,1.07296,40,0
"2017","st","Østfold","Halden","Hjortsberg","0002","Andre","Andre",0,1.39485,52,0
"2017","st","Østfold","Halden","Hjortsberg","0002","Andre2","Andre2",0,0,0,0
"2017","st","Østfold","Halden","Låby","0003","A","Arbeiderpartiet",1,38.90262,787,0
"2017","st","Østfold","Halden","Låby","0003","SV","Sosialistisk Venstreparti",1,4.94315,100,0
"2017","st","Østfold","Halden","Låby","0003","RØDT","Rødt",1,2.27385,46,0
"2017","st","Østfold","Halden","Låby","0003","SP","Senterpartiet",1,5.98122,121,0
"2017","st","Østfold","Halden","Låby","0003","KRF","Kristelig Folkeparti",1,3.85566,78,0
"2017","st","Østfold","Halden","Låby","0003","MDG","Miljøpartiet De Grønne",1,2.71873,55,0
"2017","st","Østfold","Halden","Låby","0003","V","Venstre",1,2.6693,54,0
"2017","st","Østfold","Halden","Låby","0003","H","Høyre",1,21.79931,441,0
"2017","st","Østfold","Halden","Låby","0003","FRP","Fremskrittspartiet",1,14.92832,302,0
"2017","st","Østfold","Halden","Låby","0003","ALLI","Alliansen",2,0.04943,1,0
