"aar","valgtype","fylke_navn","kommune_navn","valgkrets_navn","valgkrets_nr","parti_kode","parti_navn","parti_kategori","stemmer_prosent","stemmer_antall","stemmer_fhs"
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","A","Arbeiderpartiet",1,26.64987,529,529
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","SV","SV - Sosialistisk Venstreparti",1,3.6272,72,72
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","RØDT","Rødt",1,1.76322,35,35
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","SP","Senterpartiet",1,9.37028,186,186
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","KRF","Kristelig Folkeparti",1,10.32746,205,205
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","MDG","Miljøpartiet De Grønne",1,4.23174,84,84
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","V","Venstre",1,4.13098,82,82
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","H","Høyre",1,17.58186,349,349
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","FRP","Fremskrittspartiet",1,17.2796,343,343
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","DEMN","Demokratene",2,0.20151,4,4
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","FNB","Folkeaksjonen Nei til mer bompenger",2,2.7204,54,54
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","KRISTNE","Partiet De Kristne",2,0.4534,9,9
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","LIBS","Liberalistene",2,0.20151,4,4
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","PP","Pensjonistpartiet",2,1.3602,27,27
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","BLANKE","Blanke",3,1.25945,25,25
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","SOLIB","Sosialliberalt Parti",3,0.10076,2,2
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","Andre","Andre",0,5.03778,100,100
"2019","fy","Rogaland","Eigersund","Uoppgitt krets","0000","Andre2","Andre2",0,0,0,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","A","Arbeiderpartiet",1,24.12523,393,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","SV","SV - Sosialistisk Venstreparti",1,4.54266,74,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","RØDT","Rødt",1,1.41191,23,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","SP","Senterpartiet",1,8.41007,137,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","KRF","Kristelig Folkeparti",1,14.91713,243,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","MDG","Miljøpartiet De Grønne",1,2.57827,42,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","V","Venstre",1,6.01596,98,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","H","Høyre",1,17.55678,286,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","FRP","Fremskrittspartiet",1,15.65378,255,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","DEMN","Demokratene",2,0.06139,1,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","FNB","Folkeaksjonen Nei til mer bompenger",2,2.51688,41,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","KRISTNE","Partiet De Kristne",2,0.67526,11,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","LIBS","Liberalistene",2,0.30694,5,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","PP","Pensjonistpartiet",2,0.9822,16,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","BLANKE","Blanke",3,1.65746,27,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","SOLIB","Sosialliberalt Parti",3,0.24555,4,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","Andre","Andre",0,4.78821,78,0
"2019","fy","Rogaland","Eigersund","Egersund","0001","Andre2","Andre2",0,0,0,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","A","Arbeiderpartiet",1,24.01022,188,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","SV","SV - Sosialistisk Venstreparti",1,3.32056,26,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","RØDT","Rødt",1,0.894,7,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","SP","Senterpartiet",1,11.62197,91,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","KRF","Kristelig Folkeparti",1,16.4751,129,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","MDG","Miljøpartiet De Grønne",1,2.29885,18,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","V","Venstre",1,3.44828,27,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","H","Høyre",1,16.09195,126,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","FRP","Fremskrittspartiet",1,19.2848,151,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","DEMN","Demokratene",2,0,0,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","FNB","Folkeaksjonen Nei til mer bompenger",2,1.14943,9,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","KRISTNE","Partiet De Kristne",2,0.894,7,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","LIBS","Liberalistene",2,0.25543,2,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","PP","Pensjonistpartiet",2,0.12771,1,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","BLANKE","Blanke",3,1.66028,13,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","SOLIB","Sosialliberalt Parti",3,0.12771,1,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","Andre","Andre",0,2.55428,20,0
"2019","fy","Rogaland","Eigersund","Lagård","0002","Andre2","Andre2",0,0,0,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","A","Arbeiderpartiet",1,11.72414,34,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","SV","SV - Sosialistisk Venstreparti",1,1.72414,5,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","RØDT","Rødt",1,1.03448,3,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","SP","Senterpartiet",1,53.10345,154,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","KRF","Kristelig Folkeparti",1,10,29,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","MDG","Miljøpartiet De Grønne",1,2.75862,8,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","V","Venstre",1,1.37931,4,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","H","Høyre",1,3.7931,11,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","FRP","Fremskrittspartiet",1,13.44828,39,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","DEMN","Demokratene",2,0,0,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","FNB","Folkeaksjonen Nei til mer bompenger",2,0,0,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","KRISTNE","Partiet De Kristne",2,0.68966,2,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","LIBS","Liberalistene",2,0,0,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","PP","Pensjonistpartiet",2,0.34483,1,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","BLANKE","Blanke",3,2.06897,6,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","SOLIB","Sosialliberalt Parti",3,0,0,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","Andre","Andre",0,1.03448,3,0
"2019","fy","Rogaland","Eigersund","Helleland","0003","Andre2","Andre2",0,0,0,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","A","Arbeiderpartiet",1,23.65591,88,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","SV","SV - Sosialistisk Venstreparti",1,2.68817,10,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","RØDT","Rødt",1,0.53763,2,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","SP","Senterpartiet",1,11.82796,44,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","KRF","Kristelig Folkeparti",1,11.55914,43,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","MDG","Miljøpartiet De Grønne",1,4.30108,16,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","V","Venstre",1,2.95699,11,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","H","Høyre",1,21.23656,79,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","FRP","Fremskrittspartiet",1,17.2043,64,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","DEMN","Demokratene",2,0.80645,3,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","FNB","Folkeaksjonen Nei til mer bompenger",2,1.88172,7,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","KRISTNE","Partiet De Kristne",2,0,0,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","LIBS","Liberalistene",2,1.07527,4,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","PP","Pensjonistpartiet",2,0.26882,1,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","BLANKE","Blanke",3,1.34409,5,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","SOLIB","Sosialliberalt Parti",3,0,0,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","Andre","Andre",0,4.03226,15,0
"2019","fy","Rogaland","Eigersund","Hellvik","0004","Andre2","Andre2",0,0,0,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","A","Arbeiderpartiet",1,24.45521,202,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","SV","SV - Sosialistisk Venstreparti",1,2.54237,21,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","RØDT","Rødt",1,0.3632,3,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","SP","Senterpartiet",1,11.13801,92,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","KRF","Kristelig Folkeparti",1,8.95884,74,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","MDG","Miljøpartiet De Grønne",1,3.02663,25,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","V","Venstre",1,3.5109,29,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","H","Høyre",1,18.76513,155,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","FRP","Fremskrittspartiet",1,21.79177,180,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","DEMN","Demokratene",2,0,0,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","FNB","Folkeaksjonen Nei til mer bompenger",2,3.99516,33,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","KRISTNE","Partiet De Kristne",2,0.12107,1,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","LIBS","Liberalistene",2,0.24213,2,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","PP","Pensjonistpartiet",2,0.84746,7,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","BLANKE","Blanke",3,1.93705,16,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","SOLIB","Sosialliberalt Parti",3,0.24213,2,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","Andre","Andre",0,5.44794,45,0
"2019","fy","Rogaland","Eigersund","Eigerøy","0005","Andre2","Andre2",0,0,0,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","A","Arbeiderpartiet",1,30,273,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","SV","SV - Sosialistisk Venstreparti",1,3.95604,36,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","RØDT","Rødt",1,1.64835,15,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","SP","Senterpartiet",1,8.46154,77,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","KRF","Kristelig Folkeparti",1,13.18681,120,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","MDG","Miljøpartiet De Grønne",1,3.73626,34,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","V","Venstre",1,6.15385,56,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","H","Høyre",1,15.38462,140,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","FRP","Fremskrittspartiet",1,13.51648,123,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","DEMN","Demokratene",2,0.10989,1,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","FNB","Folkeaksjonen Nei til mer bompenger",2,2.1978,20,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","KRISTNE","Partiet De Kristne",2,0.21978,2,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","LIBS","Liberalistene",2,0.10989,1,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","PP","Pensjonistpartiet",2,0.87912,8,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","BLANKE","Blanke",3,1.42857,13,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","SOLIB","Sosialliberalt Parti",3,0.43956,4,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","Andre","Andre",0,3.95604,36,0
"2019","fy","Rogaland","Eigersund","Husabø/Rundevoll","0006","Andre2","Andre2",0,0,0,0
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","A","Arbeiderpartiet",1,24.56743,5438,5438
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","SV","SV - Sosialistisk Venstreparti",1,5.83691,1292,1292
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","RØDT","Rødt",1,4.67133,1034,1034
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","SP","Senterpartiet",1,4.26474,944,944
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","KRF","Kristelig Folkeparti",1,3.57804,792,792
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","MDG","Miljøpartiet De Grønne",1,8.34877,1848,1848
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","V","Venstre",1,4.05692,898,898
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","H","Høyre",1,23.69099,5244,5244
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","FRP","Fremskrittspartiet",1,8.62887,1910,1910
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","DEMN","Demokratene",2,0.14457,32,32
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","FNB","Folkeaksjonen Nei til mer bompenger",2,9.2749,2053,2053
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","KRISTNE","Partiet De Kristne",2,0.51954,115,115
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","LIBS","Liberalistene",2,0.31172,69,69
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","PP","Pensjonistpartiet",2,1.94714,431,431
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","BLANKE","Blanke",3,0.70928,157,157
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","SOLIB","Sosialliberalt Parti",3,0.15812,35,35
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","Andre","Andre",0,12.356,2735,2735
"2019","fy","Rogaland","Stavanger","Uoppgitt krets","0000","Andre2","Andre2",0,0,0,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","A","Arbeiderpartiet",1,26.16295,928,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","SV","SV - Sosialistisk Venstreparti",1,3.1576,112,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","RØDT","Rødt",1,2.7629,98,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","SP","Senterpartiet",1,3.49591,124,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","KRF","Kristelig Folkeparti",1,2.93206,104,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","MDG","Miljøpartiet De Grønne",1,4.22893,150,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","V","Venstre",1,3.21398,114,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","H","Høyre",1,21.31379,756,0
"2019","fy","Rogaland","Stavanger","Buøy/Hundvåg","0001","FRP","Fremskrittspartiet",1,12.29208,436,0
