"aar","valgtype","sted_type","sted_navn","overordnet_navn","parti_kode","parti_navn","mandater_antall","mandater_endring"
"2021","st","fylke","Østfold","","A","Arbeiderpartiet",3,0
"2021","st","fylke","Østfold","","SV","SV - Sosialistisk Venstreparti",1,0
"2021","st","fylke","Østfold","","RØDT","Rødt",0,0
"2021","st","fylke","Østfold","","SP","Senterpartiet",2,1
"2021","st","fylke","Østfold","","KRF","Kristelig Folkeparti",0,0
"2021","st","fylke","Østfold","","MDG","Miljøpartiet De Grønne",0,0
"2021","st","fylke","Østfold","","V","Venstre",0,0
"2021","st","fylke","Østfold","","H","Høyre",2,0
"2021","st","fylke","Østfold","","FRP","Fremskrittspartiet",1,-1
"2021","st","fylke","Østfold","","AAN","Alliansen - Alternativ for Norge",0,0
"2021","st","fylke","Østfold","","DEMN","Demokratene",0,0
"2021","st","fylke","Østfold","","FNB","Folkeaksjonen Nei til mer bompenger",0,0
"2021","st","fylke","Østfold","","HELSE","Helsepartiet",0,0
"2021","st","fylke","Østfold","","INP","Industri- og Næringspartiet",0,0
"2021","st","fylke","Østfold","","KRISTNE","Partiet De Kristne",0,0
"2021","st","fylke","Østfold","","LIBS","Liberalistene",0,0
"2021","st","fylke","Østfold","","PIR","Piratpartiet",0,0
"2021","st","fylke","Østfold","","PP","Pensjonistpartiet",0,0
"2021","st","fylke","Østfold","","PS","Partiet Sentrum",0,0
"2021","st","fylke","Østfold","","BLANKE","Blanke",0,0
"2021","st","fylke","Østfold","","Andre","Andre",0,0
"2021","st","fylke","Østfold","","Andre2","Andre2",0,0
"2021","st","fylke","Akershus","","A","Arbeiderpartiet",5,0
"2021","st","fylke","Akershus","","SV","SV - Sosialistisk Venstreparti",1,0
"2021","st","fylke","Akershus","","RØDT","Rødt",1,1
"2021","st","fylke","Akershus","","SP","Senterpartiet",2,1
"2021","st","fylke","Akershus","","KRF","Kristelig Folkeparti",0,0
"2021","st","fylke","Akershus","","MDG","Miljøpartiet De Grønne",1,1
"2021","st","fylke","Akershus","","V","Venstre",1,0
"2021","st","fylke","Akershus","","H","Høyre",6,0
"2021","st","fylke","Akershus","","FRP","Fremskrittspartiet",2,-1
"2021","st","fylke","Akershus","","AAN","Alliansen - Alternativ for Norge",0,0
"2021","st","fylke","Akershus","","DEMN","Demokratene",0,0
"2021","st","fylke","Akershus","","FNB","Folkeaksjonen Nei til mer bompenger",0,0
"2021","st","fylke","Akershus","","HELSE","Helsepartiet",0,0
"2021","st","fylke","Akershus","","INP","Industri- og Næringspartiet",0,0
"2021","st","fylke","Akershus","","KRISTNE","Partiet De Kristne",0,0
"2021","st","fylke","Akershus","","LIBS","Liberalistene",0,0
"2021","st","fylke","Akershus","","PIR","Piratpartiet",0,0
"2021","st","fylke","Akershus","","PP","Pensjonistpartiet",0,0
"2021","st","fylke","Akershus","","PS","Partiet Sentrum",0,0
"2021","st","fylke","Akershus","","BLANKE","Blanke",0,0
"2021","st","fylke","Akershus","","GENE","Generasjonspartiet",0,0
"2021","st","fylke","Akershus","","Andre","Andre",0,0
"2021","st","fylke","Akershus","","Andre2","Andre2",0,0
"2021","st","fylke","Oslo","","A","Arbeiderpartiet",4,-1
"2021","st","fylke","Oslo","","SV","SV - Sosialistisk Venstreparti",3,1
"2021","st","fylke","Oslo","","RØDT","Rødt",2,1
"2021","st","fylke","Oslo","","SP","Senterpartiet",0,0
"2021","st","fylke","Oslo","","KRF","Kristelig Folkeparti",0,0
"2021","st","fylke","Oslo","","MDG","Miljøpartiet De Grønne",2,1
"2021","st","fylke","Oslo","","V","Venstre",3,1
"2021","st","fylke","Oslo","","H","Høyre",5,-1
"2021","st","fylke","Oslo","","FRP","Fremskrittspartiet",1,-1
"2021","st","fylke","Oslo","","AAN","Alliansen - Alternativ for Norge",0,0
"2021","st","fylke","Oslo","","DEMN","Demokratene",0,0
"2021","st","fylke","Oslo","","FNB","Folkeaksjonen Nei til mer bompenger",0,0
"2021","st","fylke","Oslo","","HELSE","Helsepartiet",0,0
"2021","st","fylke","Oslo","","INP","Industri- og Næringspartiet",0,0
"2021","st","fylke","Oslo","","KRISTNE","Partiet De Kristne",0,0
"2021","st","fylke","Oslo","","KYST","Kystpartiet",0,0
"2021","st","fylke","Oslo","","LIBS","Liberalistene",0,0
"2021","st","fylke","Oslo","","NKP","Norges Kommunistiske Parti",0,0
"2021","st","fylke","Oslo","","PIR","Piratpartiet",0,0
"2021","st","fylke","Oslo","","PP","Pensjonistpartiet",0,0
"2021","st","fylke","Oslo","","PS","Partiet Sentrum",0,0
"2021","st","fylke","Oslo","","BLANKE","Blanke",0,0
"2021","st","fylke","Oslo","","FI","Feministisk Initiativ",0,0
"2021","st","fylke","Oslo","","Andre","Andre",0,0
"2021","st","fylke","Oslo","","Andre2","Andre2",0,0
"2021","st","fylke","Hedmark","","A","Arbeiderpartiet",3,1
"2021","st","fylke","Hedmark","","SV","SV - Sosialistisk Venstreparti",0,-1
"2021","st","fylke","Hedmark","","RØDT","Rødt",0,0
"2021","st","fylke","Hedmark","","SP","Senterpartiet",2,0
"2021","st","fylke","Hedmark","","KRF","Kristelig Folkeparti",0,0
"2021","st","fylke","Hedmark","","MDG","Miljøpartiet De Grønne",0,0
"2021","st","fylke","Hedmark","","V","Venstre",0,0
"2021","st","fylke","Hedmark","","H","Høyre",1,0
"2021","st","fylke","Hedmark","","FRP","Fremskrittspartiet",1,0
"2021","st","fylke","Hedmark","","AAN","Alliansen - Alternativ for Norge",0,0
"2021","st","fylke","Hedmark","","DEMN","Demokratene",0,0
"2021","st","fylke","Hedmark","","FNB","Folkeaksjonen Nei til mer bompenger",0,0
"2021","st","fylke","Hedmark","","HELSE","Helsepartiet",0,0
"2021","st","fylke","Hedmark","","INP","Industri- og Næringspartiet",0,0
